,Attribute,Value
0,Beta (5Y Monthly),1.54
1,52-Week Change 3,-15.13%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,23.11
4,52 Week Low 3,12.75
5,50-Day Moving Average 3,16.62
6,200-Day Moving Average 3,17.65
7,Avg Vol (3 month) 3,6.32M
8,Avg Vol (10 day) 3,5.2M
9,Shares Outstanding 5,516.95M
10,Float,513.59M
11,% Held by Insiders 1,1.37%
12,% Held by Institutions 1,87.96%
13,"Shares Short (Jun 14, 2020) 4",32.33M
14,"Short Ratio (Jun 14, 2020) 4",4.58
15,"Short % of Float (Jun 14, 2020) 4",8.04%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",6.25%
17,"Shares Short (prior month May 14, 2020) 4",27.66M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,"Jun 26, 2007"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Oct 08, 2003"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,0.54%
31,Operating Margin (ttm),14.26%
32,Return on Assets (ttm),3.34%
33,Return on Equity (ttm),0.54%
34,Revenue (ttm),11.62B
35,Revenue Per Share (ttm),22.52
36,Quarterly Revenue Growth (yoy),5.00%
37,Gross Profit (ttm),4.55B
38,EBITDA,3.44B
39,Net Income Avi to Common (ttm),62.6M
40,Diluted EPS (ttm),0.12
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),641.9M
43,Total Cash Per Share (mrq),1.24
44,Total Debt (mrq),12.87B
45,Total Debt/Equity (mrq),114.24
46,Current Ratio (mrq),1.26
47,Book Value Per Share (mrq),21.79
48,Operating Cash Flow (ttm),2.13B
49,Levered Free Cash Flow (ttm),2.42B
