,Attribute,Value
0,Beta (5Y Monthly),0.34
1,52-Week Change 3,57.98%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,69.13
4,52 Week Low 3,33.00
5,50-Day Moving Average 3,58.58
6,200-Day Moving Average 3,52.45
7,Avg Vol (3 month) 3,9.45M
8,Avg Vol (10 day) 3,8.55M
9,Shares Outstanding 5,802.59M
10,Float,799.72M
11,% Held by Insiders 1,0.38%
12,% Held by Institutions 1,85.93%
13,"Shares Short (Jun 14, 2020) 4",14.5M
14,"Short Ratio (Jun 14, 2020) 4",1.37
15,"Short % of Float (Jun 14, 2020) 4",2.43%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.81%
17,"Shares Short (prior month May 14, 2020) 4",13.29M
18,Forward Annual Dividend Rate 4,1
19,Forward Annual Dividend Yield 4,1.59%
20,Trailing Annual Dividend Rate 3,0.56
21,Trailing Annual Dividend Yield 3,0.89%
22,5 Year Average Dividend Yield 4,0.87
23,Payout Ratio 4,11.81%
24,Dividend Date 3,"Jun 17, 2020"
25,Ex-Dividend Date 4,"Jun 02, 2020"
26,Last Split Factor 2,5:4
27,Last Split Date 3,"Apr 21, 1994"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,33.66%
31,Operating Margin (ttm),17.91%
32,Return on Assets (ttm),3.89%
33,Return on Equity (ttm),21.28%
34,Revenue (ttm),10.52B
35,Revenue Per Share (ttm),13.09
36,Quarterly Revenue Growth (yoy),43.20%
37,Gross Profit (ttm),4.38B
38,EBITDA,4.2B
39,Net Income Avi to Common (ttm),3.6B
40,Diluted EPS (ttm),4.41
41,Quarterly Earnings Growth (yoy),844.80%
42,Total Cash (mrq),3.88B
43,Total Cash Per Share (mrq),4.84
44,Total Debt (mrq),6.87B
45,Total Debt/Equity (mrq),30.17
46,Current Ratio (mrq),3.31
47,Book Value Per Share (mrq),27.19
48,Operating Cash Flow (ttm),3.23B
49,Levered Free Cash Flow (ttm),1.71B
