,Attribute,Value
0,Beta (5Y Monthly),1.34
1,52-Week Change 3,5.64%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,47.37
4,52 Week Low 3,17.12
5,50-Day Moving Average 3,34.69
6,200-Day Moving Average 3,34.41
7,Avg Vol (3 month) 3,4.06M
8,Avg Vol (10 day) 3,3.07M
9,Shares Outstanding 5,268.15M
10,Float,260.93M
11,% Held by Insiders 1,3.17%
12,% Held by Institutions 1,94.59%
13,"Shares Short (Jun 14, 2020) 4",5.44M
14,"Short Ratio (Jun 14, 2020) 4",1.39
15,"Short % of Float (Jun 14, 2020) 4",2.31%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.03%
17,"Shares Short (prior month May 14, 2020) 4",6.11M
18,Forward Annual Dividend Rate 4,0.48
19,Forward Annual Dividend Yield 4,1.42%
20,Trailing Annual Dividend Rate 3,0.45
21,Trailing Annual Dividend Yield 3,1.33%
22,5 Year Average Dividend Yield 4,1.47
23,Payout Ratio 4,12.07%
24,Dividend Date 3,"Jul 01, 2020"
25,Ex-Dividend Date 4,"Jun 10, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Sep 01, 2005"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.02%
31,Operating Margin (ttm),13.60%
32,Return on Assets (ttm),8.26%
33,Return on Equity (ttm),20.14%
34,Revenue (ttm),10.51B
35,Revenue Per Share (ttm),38.56
36,Quarterly Revenue Growth (yoy),14.90%
37,Gross Profit (ttm),2.41B
38,EBITDA,1.49B
39,Net Income Avi to Common (ttm),1.04B
40,Diluted EPS (ttm),3.82
41,Quarterly Earnings Growth (yoy),22.20%
42,Total Cash (mrq),1.83B
43,Total Cash Per Share (mrq),6.83
44,Total Debt (mrq),3.82B
45,Total Debt/Equity (mrq),69.13
46,Current Ratio (mrq),3.90
47,Book Value Per Share (mrq),20.62
48,Operating Cash Flow (ttm),1.12B
49,Levered Free Cash Flow (ttm),611.12M
