,Attribute,Value
0,Beta (5Y Monthly),1.71
1,52-Week Change 3,-40.58%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,103.56
4,52 Week Low 3,38.62
5,50-Day Moving Average 3,62.67
6,200-Day Moving Average 3,69.25
7,Avg Vol (3 month) 3,3.45M
8,Avg Vol (10 day) 3,2.44M
9,Shares Outstanding 5,393.8M
10,Float,393.97M
11,% Held by Insiders 1,0.20%
12,% Held by Institutions 1,67.48%
13,"Shares Short (Jun 14, 2020) 4",9.79M
14,"Short Ratio (Jun 14, 2020) 4",2.53
15,"Short % of Float (Jun 14, 2020) 4",2.48%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.48%
17,"Shares Short (prior month May 14, 2020) 4",10M
18,Forward Annual Dividend Rate 4,4.4
19,Forward Annual Dividend Yield 4,7.58%
20,Trailing Annual Dividend Rate 3,4.10
21,Trailing Annual Dividend Yield 3,7.07%
22,5 Year Average Dividend Yield 4,3.62
23,Payout Ratio 4,57.02%
24,Dividend Date 3,"Jun 17, 2020"
25,Ex-Dividend Date 4,"May 21, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,4.73%
31,Operating Margin (ttm),5.61%
32,Return on Assets (ttm),0.26%
33,Return on Equity (ttm),5.20%
34,Revenue (ttm),63.08B
35,Revenue Per Share (ttm),157.02
36,Quarterly Revenue Growth (yoy),-10.80%
37,Gross Profit (ttm),18.4B
38,EBITDA,4.31B
39,Net Income Avi to Common (ttm),2.94B
40,Diluted EPS (ttm),7.27
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),44.31B
43,Total Cash Per Share (mrq),112.18
44,Total Debt (mrq),37.89B
45,Total Debt/Equity (mrq),62.04
46,Current Ratio (mrq),0.80
47,Book Value Per Share (mrq),153.48
48,Operating Cash Flow (ttm),31.31B
49,Levered Free Cash Flow (ttm),20.41B
