,Attribute,Value
0,Beta (5Y Monthly),1.29
1,52-Week Change 3,-38.72%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,128.29
4,52 Week Low 3,59.82
5,50-Day Moving Average 3,75.62
6,200-Day Moving Average 3,88.98
7,Avg Vol (3 month) 3,1.34M
8,Avg Vol (10 day) 3,767.3k
9,Shares Outstanding 5,47.78M
10,Float,43.39M
11,% Held by Insiders 1,1.02%
12,% Held by Institutions 1,103.37%
13,"Shares Short (Jun 14, 2020) 4",4.49M
14,"Short Ratio (Jun 14, 2020) 4",2.82
15,"Short % of Float (Jun 14, 2020) 4",10.73%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",6.18%
17,"Shares Short (prior month May 14, 2020) 4",5.48M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,2.75
21,Trailing Annual Dividend Yield 3,4.08%
22,5 Year Average Dividend Yield 4,2.22
23,Payout Ratio 4,55.22%
24,Dividend Date 3,"Apr 09, 2020"
25,Ex-Dividend Date 4,"Mar 25, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Mar 27, 2020"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,6.24%
31,Operating Margin (ttm),9.77%
32,Return on Assets (ttm),5.69%
33,Return on Equity (ttm),12.85%
34,Revenue (ttm),6.16B
35,Revenue Per Share (ttm),81.26
36,Quarterly Revenue Growth (yoy),-15.40%
37,Gross Profit (ttm),3.81B
38,EBITDA,871.6M
39,Net Income Avi to Common (ttm),384.3M
40,Diluted EPS (ttm),4.98
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),2.12B
43,Total Cash Per Share (mrq),29.13
44,Total Debt (mrq),3.23B
45,Total Debt/Equity (mrq),119.83
46,Current Ratio (mrq),1.61
47,Book Value Per Share (mrq),36.64
48,Operating Cash Flow (ttm),754.6M
49,Levered Free Cash Flow (ttm),654.71M
