,Attribute,Value
0,Beta (5Y Monthly),0.51
1,52-Week Change 3,55.22%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,197.38
4,52 Week Low 3,108.85
5,50-Day Moving Average 3,173.99
6,200-Day Moving Average 3,162.88
7,Avg Vol (3 month) 3,681.12k
8,Avg Vol (10 day) 3,513.55k
9,Shares Outstanding 5,144.67M
10,Float,143.38M
11,% Held by Insiders 1,0.79%
12,% Held by Institutions 1,69.62%
13,"Shares Short (Jun 14, 2020) 4",1.39M
14,"Short Ratio (Jun 14, 2020) 4",2.18
15,"Short % of Float (Jun 14, 2020) 4",1.08%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.96%
17,"Shares Short (prior month May 14, 2020) 4",1.91M
18,Forward Annual Dividend Rate 4,1.56
19,Forward Annual Dividend Yield 4,0.81%
20,Trailing Annual Dividend Rate 3,1.56
21,Trailing Annual Dividend Yield 3,0.81%
22,5 Year Average Dividend Yield 4,1.56
23,Payout Ratio 4,43.75%
24,Dividend Date 3,"Jun 17, 2020"
25,Ex-Dividend Date 4,"May 12, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Aug 30, 2010"
28,Fiscal Year Ends,"Jun 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,17.73%
31,Operating Margin (ttm),26.20%
32,Return on Assets (ttm),11.00%
33,Return on Equity (ttm),23.97%
34,Revenue (ttm),2.89B
35,Revenue Per Share (ttm),20.08
36,Quarterly Revenue Growth (yoy),16.20%
37,Gross Profit (ttm),1.54B
38,EBITDA,916.42M
39,Net Income Avi to Common (ttm),512.64M
40,Diluted EPS (ttm),3.52
41,Quarterly Earnings Growth (yoy),54.80%
42,Total Cash (mrq),352.86M
43,Total Cash Per Share (mrq),2.44
44,Total Debt (mrq),1.51B
45,Total Debt/Equity (mrq),66.78
46,Current Ratio (mrq),2.66
47,Book Value Per Share (mrq),15.60
48,Operating Cash Flow (ttm),613.81M
49,Levered Free Cash Flow (ttm),476.61M
