,Attribute,Value
0,Beta (5Y Monthly),0.41
1,52-Week Change 3,29.39%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,323.02
4,52 Week Low 3,205.20
5,50-Day Moving Average 3,300.96
6,200-Day Moving Average 3,279.72
7,Avg Vol (3 month) 3,815.1k
8,Avg Vol (10 day) 3,544k
9,Shares Outstanding 5,111.62M
10,Float,110.32M
11,% Held by Insiders 1,1.24%
12,% Held by Institutions 1,96.32%
13,"Shares Short (Jun 14, 2020) 4",1.48M
14,"Short Ratio (Jun 14, 2020) 4",2
15,"Short % of Float (Jun 14, 2020) 4",1.84%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.32%
17,"Shares Short (prior month May 14, 2020) 4",1.42M
18,Forward Annual Dividend Rate 4,1.86
19,Forward Annual Dividend Yield 4,0.61%
20,Trailing Annual Dividend Rate 3,1.67
21,Trailing Annual Dividend Yield 3,0.54%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,
24,Dividend Date 3,"Jun 17, 2020"
25,Ex-Dividend Date 4,"May 26, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-0.30%
31,Operating Margin (ttm),31.08%
32,Return on Assets (ttm),4.24%
33,Return on Equity (ttm),
34,Revenue (ttm),2.04B
35,Revenue Per Share (ttm),18.10
36,Quarterly Revenue Growth (yoy),4.80%
37,Gross Profit (ttm),1.51B
38,EBITDA,1.34B
39,Net Income Avi to Common (ttm),-6.06M
40,Diluted EPS (ttm),-0.06
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),184.14M
43,Total Cash Per Share (mrq),1.65
44,Total Debt (mrq),13.22B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),0.39
47,Book Value Per Share (mrq),-38.70
48,Operating Cash Flow (ttm),1.03B
49,Levered Free Cash Flow (ttm),741.22M
