,Attribute,Value
0,Beta (5Y Monthly),1.06
1,52-Week Change 3,-1.99%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,64.17
4,52 Week Low 3,39.02
5,50-Day Moving Average 3,50.47
6,200-Day Moving Average 3,51.77
7,Avg Vol (3 month) 3,2.79M
8,Avg Vol (10 day) 3,2.27M
9,Shares Outstanding 5,256.62M
10,Float,223.94M
11,% Held by Insiders 1,0.68%
12,% Held by Institutions 1,91.72%
13,"Shares Short (Jun 14, 2020) 4",14.68M
14,"Short Ratio (Jun 14, 2020) 4",5.72
15,"Short % of Float (Jun 14, 2020) 4",7.58%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.72%
17,"Shares Short (prior month May 14, 2020) 4",12.95M
18,Forward Annual Dividend Rate 4,2.6
19,Forward Annual Dividend Yield 4,5.56%
20,Trailing Annual Dividend Rate 3,2.56
21,Trailing Annual Dividend Yield 3,5.47%
22,5 Year Average Dividend Yield 4,5.92
23,Payout Ratio 4,38.55%
24,Dividend Date 3,"Jul 07, 2020"
25,Ex-Dividend Date 4,"Jun 22, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Jun 27, 2019"
29,Most Recent Quarter (mrq),"Apr 02, 2020"
30,Profit Margin,17.57%
31,Operating Margin (ttm),12.75%
32,Return on Assets (ttm),9.48%
33,Return on Equity (ttm),104.62%
34,Revenue (ttm),10.36B
35,Revenue Per Share (ttm),38.92
36,Quarterly Revenue Growth (yoy),17.50%
37,Gross Profit (ttm),2.93B
38,EBITDA,1.73B
39,Net Income Avi to Common (ttm),1.82B
40,Diluted EPS (ttm),6.78
41,Quarterly Earnings Growth (yoy),64.10%
42,Total Cash (mrq),1.61B
43,Total Cash Per Share (mrq),6.29
44,Total Debt (mrq),4.17B
45,Total Debt/Equity (mrq),232.59
46,Current Ratio (mrq),1.49
47,Book Value Per Share (mrq),6.96
48,Operating Cash Flow (ttm),1.77B
49,Levered Free Cash Flow (ttm),809.88M
