,Attribute,Value
0,Beta (5Y Monthly),0.86
1,52-Week Change 3,-35.46%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,61.94
4,52 Week Low 3,33.18
5,50-Day Moving Average 3,37.70
6,200-Day Moving Average 3,44.96
7,Avg Vol (3 month) 3,2.67M
8,Avg Vol (10 day) 3,1.8M
9,Shares Outstanding 5,196.47M
10,Float,189.11M
11,% Held by Insiders 1,11.61%
12,% Held by Institutions 1,93.04%
13,"Shares Short (Jun 14, 2020) 4",11.12M
14,"Short Ratio (Jun 14, 2020) 4",3.46
15,"Short % of Float (Jun 14, 2020) 4",7.62%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.14%
17,"Shares Short (prior month May 14, 2020) 4",9.73M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,2.12
21,Trailing Annual Dividend Yield 3,6.38%
22,5 Year Average Dividend Yield 4,2.50
23,Payout Ratio 4,
24,Dividend Date 3,"Mar 19, 2020"
25,Ex-Dividend Date 4,"Mar 05, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Oct 03, 2007"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-0.26%
31,Operating Margin (ttm),12.13%
32,Return on Assets (ttm),2.70%
33,Return on Equity (ttm),-0.14%
34,Revenue (ttm),10.38B
35,Revenue Per Share (ttm),47.91
36,Quarterly Revenue Growth (yoy),-8.70%
37,Gross Profit (ttm),4.2B
38,EBITDA,2.13B
39,Net Income Avi to Common (ttm),-26.7M
40,Diluted EPS (ttm),-0.13
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),666.1M
43,Total Cash Per Share (mrq),3.08
44,Total Debt (mrq),9.93B
45,Total Debt/Equity (mrq),76.71
46,Current Ratio (mrq),0.59
47,Book Value Per Share (mrq),58.60
48,Operating Cash Flow (ttm),1.98B
49,Levered Free Cash Flow (ttm),1.27B
