,Attribute,Value
0,Beta (5Y Monthly),1.32
1,52-Week Change 3,-15.77%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,101.00
4,52 Week Low 3,48.62
5,50-Day Moving Average 3,82.34
6,200-Day Moving Average 3,80.76
7,Avg Vol (3 month) 3,2.03M
8,Avg Vol (10 day) 3,1.48M
9,Shares Outstanding 5,329.85M
10,Float,327.01M
11,% Held by Insiders 1,0.20%
12,% Held by Institutions 1,95.80%
13,"Shares Short (Jun 14, 2020) 4",4.17M
14,"Short Ratio (Jun 14, 2020) 4",1.78
15,"Short % of Float (Jun 14, 2020) 4",1.27%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.26%
17,"Shares Short (prior month May 14, 2020) 4",4.75M
18,Forward Annual Dividend Rate 4,1.92
19,Forward Annual Dividend Yield 4,2.43%
20,Trailing Annual Dividend Rate 3,1.84
21,Trailing Annual Dividend Yield 3,2.33%
22,5 Year Average Dividend Yield 4,2.02
23,Payout Ratio 4,88.89%
24,Dividend Date 3,"Jun 04, 2020"
25,Ex-Dividend Date 4,"May 20, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Sep 26, 2019"
29,Most Recent Quarter (mrq),"Mar 26, 2020"
30,Profit Margin,5.36%
31,Operating Margin (ttm),16.39%
32,Return on Assets (ttm),6.92%
33,Return on Equity (ttm),7.36%
34,Revenue (ttm),13.05B
35,Revenue Per Share (ttm),38.96
36,Quarterly Revenue Growth (yoy),-6.40%
37,Gross Profit (ttm),4.39B
38,EBITDA,2.84B
39,Net Income Avi to Common (ttm),705M
40,Diluted EPS (ttm),2.09
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),796M
43,Total Cash Per Share (mrq),2.41
44,Total Debt (mrq),4.82B
45,Total Debt/Equity (mrq),52.59
46,Current Ratio (mrq),1.44
47,Book Value Per Share (mrq),27.38
48,Operating Cash Flow (ttm),2.46B
49,Levered Free Cash Flow (ttm),1.37B
