,Attribute,Value
0,Beta (5Y Monthly),1.35
1,52-Week Change 3,-58.96%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,31.34
4,52 Week Low 3,10.18
5,50-Day Moving Average 3,14.16
6,200-Day Moving Average 3,18.71
7,Avg Vol (3 month) 3,5.96M
8,Avg Vol (10 day) 3,5.25M
9,Shares Outstanding 5,276.1M
10,Float,275.21M
11,% Held by Insiders 1,0.31%
12,% Held by Institutions 1,92.01%
13,"Shares Short (Jun 14, 2020) 4",12.33M
14,"Short Ratio (Jun 14, 2020) 4",1.7
15,"Short % of Float (Jun 14, 2020) 4",5.76%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.47%
17,"Shares Short (prior month May 14, 2020) 4",13.45M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,1.35
21,Trailing Annual Dividend Yield 3,10.94%
22,5 Year Average Dividend Yield 4,4.15
23,Payout Ratio 4,
24,Dividend Date 3,"Mar 29, 2020"
25,Ex-Dividend Date 4,"Mar 04, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Apr 04, 2005"
28,Fiscal Year Ends,"Jun 28, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,-3.64%
31,Operating Margin (ttm),11.96%
32,Return on Assets (ttm),5.86%
33,Return on Equity (ttm),-6.88%
34,Revenue (ttm),5.76B
35,Revenue Per Share (ttm),20.44
36,Quarterly Revenue Growth (yoy),-19.40%
37,Gross Profit (ttm),4.08B
38,EBITDA,962.5M
39,Net Income Avi to Common (ttm),-209.4M
40,Diluted EPS (ttm),-0.75
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),898.2M
43,Total Cash Per Share (mrq),3.25
44,Total Debt (mrq),3.85B
45,Total Debt/Equity (mrq),150.99
46,Current Ratio (mrq),1.87
47,Book Value Per Share (mrq),9.25
48,Operating Cash Flow (ttm),635M
49,Levered Free Cash Flow (ttm),345.38M
