,Attribute,Value
0,Beta (5Y Monthly),1.03
1,52-Week Change 3,24.19%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,138.65
4,52 Week Low 3,63.89
5,50-Day Moving Average 3,126.44
6,200-Day Moving Average 3,101.24
7,Avg Vol (3 month) 3,1.47M
8,Avg Vol (10 day) 3,749.22k
9,Shares Outstanding 5,115.63M
10,Float,115.02M
11,% Held by Insiders 1,0.46%
12,% Held by Institutions 1,89.05%
13,"Shares Short (Jun 14, 2020) 4",3.35M
14,"Short Ratio (Jun 14, 2020) 4",1.98
15,"Short % of Float (Jun 14, 2020) 4",3.27%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.89%
17,"Shares Short (prior month May 14, 2020) 4",3.75M
18,Forward Annual Dividend Rate 4,1.4
19,Forward Annual Dividend Yield 4,1.02%
20,Trailing Annual Dividend Rate 3,1.40
21,Trailing Annual Dividend Yield 3,1.02%
22,5 Year Average Dividend Yield 4,1.30
23,Payout Ratio 4,29.54%
24,Dividend Date 3,"Jun 08, 2020"
25,Ex-Dividend Date 4,"May 21, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Sep 26, 2013"
28,Fiscal Year Ends,"Dec 27, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,6.71%
31,Operating Margin (ttm),8.90%
32,Return on Assets (ttm),8.25%
33,Return on Equity (ttm),40.10%
34,Revenue (ttm),8.49B
35,Revenue Per Share (ttm),71.57
36,Quarterly Revenue Growth (yoy),7.50%
37,Gross Profit (ttm),2.87B
38,EBITDA,956.9M
39,Net Income Avi to Common (ttm),569.3M
40,Diluted EPS (ttm),4.76
41,Quarterly Earnings Growth (yoy),9.00%
42,Total Cash (mrq),461.47M
43,Total Cash Per Share (mrq),3.99
44,Total Debt (mrq),3.39B
45,Total Debt/Equity (mrq),250.77
46,Current Ratio (mrq),1.66
47,Book Value Per Share (mrq),11.71
48,Operating Cash Flow (ttm),908.67M
49,Levered Free Cash Flow (ttm),576.51M
