,Attribute,Value
0,Beta (5Y Monthly),1.67
1,52-Week Change 3,-49.72%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,33.35
4,52 Week Low 3,9.58
5,50-Day Moving Average 3,16.69
6,200-Day Moving Average 3,19.96
7,Avg Vol (3 month) 3,3.65M
8,Avg Vol (10 day) 3,2.54M
9,Shares Outstanding 5,203.42M
10,Float,202.36M
11,% Held by Insiders 1,0.63%
12,% Held by Institutions 1,102.98%
13,"Shares Short (Jun 14, 2020) 4",8.26M
14,"Short Ratio (Jun 14, 2020) 4",2.03
15,"Short % of Float (Jun 14, 2020) 4",4.66%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.06%
17,"Shares Short (prior month May 14, 2020) 4",7.21M
18,Forward Annual Dividend Rate 4,1.14
19,Forward Annual Dividend Yield 4,7.36%
20,Trailing Annual Dividend Rate 3,1.14
21,Trailing Annual Dividend Yield 3,7.36%
22,5 Year Average Dividend Yield 4,2.73
23,Payout Ratio 4,23.62%
24,Dividend Date 3,"May 14, 2020"
25,Ex-Dividend Date 4,"Apr 23, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 02, 1997"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,8.25%
31,Operating Margin (ttm),12.11%
32,Return on Assets (ttm),1.39%
33,Return on Equity (ttm),10.40%
34,Revenue (ttm),11.88B
35,Revenue Per Share (ttm),57.41
36,Quarterly Revenue Growth (yoy),-3.90%
37,Gross Profit (ttm),3.43B
38,EBITDA,1.55B
39,Net Income Avi to Common (ttm),980.4M
40,Diluted EPS (ttm),4.73
41,Quarterly Earnings Growth (yoy),-42.70%
42,Total Cash (mrq),1.72B
43,Total Cash Per Share (mrq),8.46
44,Total Debt (mrq),3.31B
45,Total Debt/Equity (mrq),33.81
46,Current Ratio (mrq),7.16
47,Book Value Per Share (mrq),48.21
48,Operating Cash Flow (ttm),1.44B
49,Levered Free Cash Flow (ttm),771.88M
