,Attribute,Value
0,Beta (5Y Monthly),1.34
1,52-Week Change 3,-44.67%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,77.74
4,52 Week Low 3,30.11
5,50-Day Moving Average 3,46.45
6,200-Day Moving Average 3,50.23
7,Avg Vol (3 month) 3,26.38M
8,Avg Vol (10 day) 3,20.24M
9,Shares Outstanding 5,4.23B
10,Float,4.22B
11,% Held by Insiders 1,0.08%
12,% Held by Institutions 1,56.77%
13,"Shares Short (Jun 14, 2020) 4",59.08M
14,"Short Ratio (Jun 14, 2020) 4",2.33
15,"Short % of Float (Jun 14, 2020) 4",1.40%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.40%
17,"Shares Short (prior month May 14, 2020) 4",59.7M
18,Forward Annual Dividend Rate 4,3.48
19,Forward Annual Dividend Yield 4,8.41%
20,Trailing Annual Dividend Rate 3,3.48
21,Trailing Annual Dividend Yield 3,8.41%
22,5 Year Average Dividend Yield 4,4.24
23,Payout Ratio 4,130.34%
24,Dividend Date 3,"Jun 09, 2020"
25,Ex-Dividend Date 4,"May 11, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 18, 2001"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,4.57%
31,Operating Margin (ttm),3.48%
32,Return on Assets (ttm),1.52%
33,Return on Equity (ttm),6.00%
34,Revenue (ttm),249.07B
35,Revenue Per Share (ttm),58.33
36,Quarterly Revenue Growth (yoy),-10.60%
37,Gross Profit (ttm),77.15B
38,EBITDA,28.25B
39,Net Income Avi to Common (ttm),11.38B
40,Diluted EPS (ttm),2.66
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),11.41B
43,Total Cash Per Share (mrq),2.7
44,Total Debt (mrq),59.61B
45,Total Debt/Equity (mrq),31.58
46,Current Ratio (mrq),0.78
47,Book Value Per Share (mrq),43.06
48,Operating Cash Flow (ttm),27.65B
49,Levered Free Cash Flow (ttm),1.31B
