,Attribute,Value
0,Beta (5Y Monthly),1.31
1,52-Week Change 3,-2.03%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,161.11
4,52 Week Low 3,74.37
5,50-Day Moving Average 3,124.88
6,200-Day Moving Average 3,127.05
7,Avg Vol (3 month) 3,1.59M
8,Avg Vol (10 day) 3,1.41M
9,Shares Outstanding 5,206.8M
10,Float,206.53M
11,% Held by Insiders 1,0.17%
12,% Held by Institutions 1,94.53%
13,"Shares Short (Jun 14, 2020) 4",2.51M
14,"Short Ratio (Jun 14, 2020) 4",1.66
15,"Short % of Float (Jun 14, 2020) 4",1.22%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.22%
17,"Shares Short (prior month May 14, 2020) 4",2.25M
18,Forward Annual Dividend Rate 4,0.96
19,Forward Annual Dividend Yield 4,0.82%
20,Trailing Annual Dividend Rate 3,0.96
21,Trailing Annual Dividend Yield 3,0.82%
22,5 Year Average Dividend Yield 4,0.80
23,Payout Ratio 4,53.04%
24,Dividend Date 3,"Jul 30, 2020"
25,Ex-Dividend Date 4,"Jun 25, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,4.84%
31,Operating Margin (ttm),16.68%
32,Return on Assets (ttm),3.26%
33,Return on Equity (ttm),3.21%
34,Revenue (ttm),7.79B
35,Revenue Per Share (ttm),37.89
36,Quarterly Revenue Growth (yoy),-9.70%
37,Gross Profit (ttm),5.73B
38,EBITDA,2.31B
39,Net Income Avi to Common (ttm),377M
40,Diluted EPS (ttm),1.82
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),2.45B
43,Total Cash Per Share (mrq),11.84
44,Total Debt (mrq),9.67B
45,Total Debt/Equity (mrq),81.41
46,Current Ratio (mrq),1.69
47,Book Value Per Share (mrq),57.44
48,Operating Cash Flow (ttm),1.75B
49,Levered Free Cash Flow (ttm),1.15B
