,Attribute,Value
0,Beta (5Y Monthly),0.77
1,52-Week Change 3,20.72%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,146.26
4,52 Week Low 3,90.14
5,50-Day Moving Average 3,137.14
6,200-Day Moving Average 3,131.51
7,Avg Vol (3 month) 3,2.04M
8,Avg Vol (10 day) 3,1.24M
9,Shares Outstanding 5,474.94M
10,Float,474.26M
11,% Held by Insiders 1,0.25%
12,% Held by Institutions 1,95.03%
13,"Shares Short (Jun 14, 2020) 4",4.36M
14,"Short Ratio (Jun 14, 2020) 4",2.09
15,"Short % of Float (Jun 14, 2020) 4",0.92%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.92%
17,"Shares Short (prior month May 14, 2020) 4",4.46M
18,Forward Annual Dividend Rate 4,0.8
19,Forward Annual Dividend Yield 4,0.58%
20,Trailing Annual Dividend Rate 3,0.69
21,Trailing Annual Dividend Yield 3,0.50%
22,5 Year Average Dividend Yield 4,0.63
23,Payout Ratio 4,20.72%
24,Dividend Date 3,"Aug 31, 2020"
25,Ex-Dividend Date 4,"Jul 15, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,25.41%
31,Operating Margin (ttm),35.30%
32,Return on Assets (ttm),12.48%
33,Return on Equity (ttm),63.55%
34,Revenue (ttm),6.34B
35,Revenue Per Share (ttm),13.29
36,Quarterly Revenue Growth (yoy),5.40%
37,Gross Profit (ttm),4.37B
38,EBITDA,2.64B
39,Net Income Avi to Common (ttm),1.61B
40,Diluted EPS (ttm),3.34
41,Quarterly Earnings Growth (yoy),35.60%
42,Total Cash (mrq),1.96B
43,Total Cash Per Share (mrq),4.12
44,Total Debt (mrq),6.69B
45,Total Debt/Equity (mrq),242.97
46,Current Ratio (mrq),2.77
47,Book Value Per Share (mrq),5.80
48,Operating Cash Flow (ttm),1.81B
49,Levered Free Cash Flow (ttm),1.16B
