,Attribute,Value
0,Beta (5Y Monthly),1.59
1,52-Week Change 3,43.93%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,247.14
4,52 Week Low 3,125.38
5,50-Day Moving Average 3,213.05
6,200-Day Moving Average 3,188.21
7,Avg Vol (3 month) 3,1.94M
8,Avg Vol (10 day) 3,1.63M
9,Shares Outstanding 5,219.2M
10,Float,218.82M
11,% Held by Insiders 1,0.15%
12,% Held by Institutions 1,97.69%
13,"Shares Short (Jun 14, 2020) 4",3.71M
14,"Short Ratio (Jun 14, 2020) 4",1.87
15,"Short % of Float (Jun 14, 2020) 4",1.69%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.69%
17,"Shares Short (prior month May 14, 2020) 4",3.73M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,"Mar 21, 2005"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Dec 20, 2004"
28,Fiscal Year Ends,"Jan 30, 2020"
29,Most Recent Quarter (mrq),"Apr 29, 2020"
30,Profit Margin,8.91%
31,Operating Margin (ttm),13.73%
32,Return on Assets (ttm),5.68%
33,Return on Equity (ttm),
34,Revenue (ttm),3.42B
35,Revenue Per Share (ttm),15.59
36,Quarterly Revenue Growth (yoy),20.40%
37,Gross Profit (ttm),2.98B
38,EBITDA,561.9M
39,Net Income Avi to Common (ttm),305.2M
40,Diluted EPS (ttm),1.36
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.47B
43,Total Cash Per Share (mrq),6.69
44,Total Debt (mrq),2.08B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),0.79
47,Book Value Per Share (mrq),-0.63
48,Operating Cash Flow (ttm),1.52B
49,Levered Free Cash Flow (ttm),965.79M
