,Attribute,Value
0,Beta (5Y Monthly),0.75
1,52-Week Change 3,11.06%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,109.46
4,52 Week Low 3,65.09
5,50-Day Moving Average 3,93.78
6,200-Day Moving Average 3,92.33
7,Avg Vol (3 month) 3,1.37M
8,Avg Vol (10 day) 3,1.26M
9,Shares Outstanding 5,189.62M
10,Float,187.75M
11,% Held by Insiders 1,0.97%
12,% Held by Institutions 1,83.97%
13,"Shares Short (Jun 14, 2020) 4",2.03M
14,"Short Ratio (Jun 14, 2020) 4",1.58
15,"Short % of Float (Jun 14, 2020) 4",1.39%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.07%
17,"Shares Short (prior month May 14, 2020) 4",2.8M
18,Forward Annual Dividend Rate 4,1.8
19,Forward Annual Dividend Yield 4,1.85%
20,Trailing Annual Dividend Rate 3,1.74
21,Trailing Annual Dividend Yield 3,1.79%
22,5 Year Average Dividend Yield 4,2.56
23,Payout Ratio 4,49.15%
24,Dividend Date 3,"Jun 18, 2020"
25,Ex-Dividend Date 4,"Jun 03, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jan 18, 2001"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,9.98%
31,Operating Margin (ttm),11.51%
32,Return on Assets (ttm),2.49%
33,Return on Equity (ttm),14.35%
34,Revenue (ttm),6.83B
35,Revenue Per Share (ttm),36.49
36,Quarterly Revenue Growth (yoy),-3.80%
37,Gross Profit (ttm),2.28B
38,EBITDA,1.32B
39,Net Income Avi to Common (ttm),681M
40,Diluted EPS (ttm),3.56
41,Quarterly Earnings Growth (yoy),3.70%
42,Total Cash (mrq),352.8M
43,Total Cash Per Share (mrq),1.86
44,Total Debt (mrq),5.35B
45,Total Debt/Equity (mrq),105.59
46,Current Ratio (mrq),1.07
47,Book Value Per Share (mrq),26.52
48,Operating Cash Flow (ttm),1.32B
49,Levered Free Cash Flow (ttm),650.68M
