,Attribute,Value
0,Beta (5Y Monthly),1.51
1,52-Week Change 3,-44.48%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,72.22
4,52 Week Low 3,20.02
5,50-Day Moving Average 3,34.85
6,200-Day Moving Average 3,46.45
7,Avg Vol (3 month) 3,3.89M
8,Avg Vol (10 day) 3,3.39M
9,Shares Outstanding 5,122.58M
10,Float,122M
11,% Held by Insiders 1,0.45%
12,% Held by Institutions 1,90.26%
13,"Shares Short (Jun 14, 2020) 4",3.85M
14,"Short Ratio (Jun 14, 2020) 4",0.73
15,"Short % of Float (Jun 14, 2020) 4",3.54%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.14%
17,"Shares Short (prior month May 14, 2020) 4",3.21M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,1.42
21,Trailing Annual Dividend Yield 3,4.02%
22,5 Year Average Dividend Yield 4,1.79
23,Payout Ratio 4,33.37%
24,Dividend Date 3,"Mar 04, 2020"
25,Ex-Dividend Date 4,"Feb 13, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 09, 2014"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,6.24%
31,Operating Margin (ttm),10.26%
32,Return on Assets (ttm),4.21%
33,Return on Equity (ttm),13.73%
34,Revenue (ttm),8.54B
35,Revenue Per Share (ttm),69.35
36,Quarterly Revenue Growth (yoy),-12.80%
37,Gross Profit (ttm),2.49B
38,EBITDA,1.3B
39,Net Income Avi to Common (ttm),533M
40,Diluted EPS (ttm),4.30
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),2.12B
43,Total Cash Per Share (mrq),17.33
44,Total Debt (mrq),3.9B
45,Total Debt/Equity (mrq),97.21
46,Current Ratio (mrq),0.69
47,Book Value Per Share (mrq),32.75
48,Operating Cash Flow (ttm),1.29B
49,Levered Free Cash Flow (ttm),-13.88M
