,Attribute,Value
0,Beta (5Y Monthly),1.19
1,52-Week Change 3,-11.35%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,139.24
4,52 Week Low 3,77.37
5,50-Day Moving Average 3,101.21
6,200-Day Moving Average 3,110.97
7,Avg Vol (3 month) 3,769.54k
8,Avg Vol (10 day) 3,617.4k
9,Shares Outstanding 5,92.22M
10,Float,91.8M
11,% Held by Insiders 1,0.35%
12,% Held by Institutions 1,100.89%
13,"Shares Short (Jun 14, 2020) 4",4.35M
14,"Short Ratio (Jun 14, 2020) 4",5.78
15,"Short % of Float (Jun 14, 2020) 4",6.02%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.72%
17,"Shares Short (prior month May 14, 2020) 4",4.4M
18,Forward Annual Dividend Rate 4,1.28
19,Forward Annual Dividend Yield 4,1.31%
20,Trailing Annual Dividend Rate 3,1.13
21,Trailing Annual Dividend Yield 3,1.15%
22,5 Year Average Dividend Yield 4,0.79
23,Payout Ratio 4,33.00%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Jun 14, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,11.20%
31,Operating Margin (ttm),20.42%
32,Return on Assets (ttm),13.19%
33,Return on Equity (ttm),51.52%
34,Revenue (ttm),2.87B
35,Revenue Per Share (ttm),30.85
36,Quarterly Revenue Growth (yoy),3.00%
37,Gross Profit (ttm),1.25B
38,EBITDA,654.3M
39,Net Income Avi to Common (ttm),322M
40,Diluted EPS (ttm),3.43
41,Quarterly Earnings Growth (yoy),-99.50%
42,Total Cash (mrq),245.3M
43,Total Cash Per Share (mrq),2.66
44,Total Debt (mrq),1.48B
45,Total Debt/Equity (mrq),241.53
46,Current Ratio (mrq),2.02
47,Book Value Per Share (mrq),6.63
48,Operating Cash Flow (ttm),531.6M
49,Levered Free Cash Flow (ttm),394.59M
