,Attribute,Value
0,Beta (5Y Monthly),0.88
1,52-Week Change 3,4.83%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,257.01
4,52 Week Low 3,167.43
5,50-Day Moving Average 3,237.72
6,200-Day Moving Average 3,228.50
7,Avg Vol (3 month) 3,1.14M
8,Avg Vol (10 day) 3,901.05k
9,Shares Outstanding 5,220.86M
10,Float,220.08M
11,% Held by Insiders 1,0.25%
12,% Held by Institutions 1,86.04%
13,"Shares Short (Jun 14, 2020) 4",2.46M
14,"Short Ratio (Jun 14, 2020) 4",2.55
15,"Short % of Float (Jun 14, 2020) 4",1.12%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.12%
17,"Shares Short (prior month May 14, 2020) 4",2.79M
18,Forward Annual Dividend Rate 4,5.36
19,Forward Annual Dividend Yield 4,2.26%
20,Trailing Annual Dividend Rate 3,4.82
21,Trailing Annual Dividend Yield 3,2.03%
22,5 Year Average Dividend Yield 4,2.34
23,Payout Ratio 4,54.65%
24,Dividend Date 3,"Aug 09, 2020"
25,Ex-Dividend Date 4,"Jun 29, 2020"
26,Last Split Factor 2,1081:1000
27,Last Split Date 3,"Oct 02, 2016"
28,Fiscal Year Ends,"Sep 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,21.66%
31,Operating Margin (ttm),25.29%
32,Return on Assets (ttm),7.32%
33,Return on Equity (ttm),17.33%
34,Revenue (ttm),8.98B
35,Revenue Per Share (ttm),40.66
36,Quarterly Revenue Growth (yoy),1.30%
37,Gross Profit (ttm),2.94B
38,EBITDA,3.42B
39,Net Income Avi to Common (ttm),1.96B
40,Diluted EPS (ttm),8.75
41,Quarterly Earnings Growth (yoy),13.40%
42,Total Cash (mrq),2.25B
43,Total Cash Per Share (mrq),10.2
44,Total Debt (mrq),3.71B
45,Total Debt/Equity (mrq),31.61
46,Current Ratio (mrq),2.60
47,Book Value Per Share (mrq),51.49
48,Operating Cash Flow (ttm),2.92B
49,Levered Free Cash Flow (ttm),388.02M
