,Attribute,Value
0,Beta (5Y Monthly),1.05
1,52-Week Change 3,-30.19%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,147.83
4,52 Week Low 3,71.57
5,50-Day Moving Average 3,89.26
6,200-Day Moving Average 3,113.18
7,Avg Vol (3 month) 3,1.8M
8,Avg Vol (10 day) 3,1.92M
9,Shares Outstanding 5,155.37M
10,Float,154.99M
11,% Held by Insiders 1,0.14%
12,% Held by Institutions 1,98.97%
13,"Shares Short (Jun 14, 2020) 4",2.65M
14,"Short Ratio (Jun 14, 2020) 4",1.28
15,"Short % of Float (Jun 14, 2020) 4",1.97%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.71%
17,"Shares Short (prior month May 14, 2020) 4",3.15M
18,Forward Annual Dividend Rate 4,3.92
19,Forward Annual Dividend Yield 4,4.35%
20,Trailing Annual Dividend Rate 3,3.86
21,Trailing Annual Dividend Yield 3,4.29%
22,5 Year Average Dividend Yield 4,2.50
23,Payout Ratio 4,65.76%
24,Dividend Date 3,"Apr 29, 2020"
25,Ex-Dividend Date 4,"Jun 28, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,31.18%
31,Operating Margin (ttm),35.67%
32,Return on Assets (ttm),3.11%
33,Return on Equity (ttm),13.24%
34,Revenue (ttm),2.95B
35,Revenue Per Share (ttm),19.09
36,Quarterly Revenue Growth (yoy),3.70%
37,Gross Profit (ttm),1.84B
38,EBITDA,1.73B
39,Net Income Avi to Common (ttm),909.41M
40,Diluted EPS (ttm),5.87
41,Quarterly Earnings Growth (yoy),396.50%
42,Total Cash (mrq),660.73M
43,Total Cash Per Share (mrq),4.25
44,Total Debt (mrq),12.49B
45,Total Debt/Equity (mrq),148.31
46,Current Ratio (mrq),4.09
47,Book Value Per Share (mrq),37.65
48,Operating Cash Flow (ttm),1.15B
49,Levered Free Cash Flow (ttm),854.56M
