,Attribute,Value
0,Beta (5Y Monthly),0.37
1,52-Week Change 3,26.37%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,176.85
4,52 Week Low 3,114.18
5,50-Day Moving Average 3,163.43
6,200-Day Moving Average 3,152.92
7,Avg Vol (3 month) 3,2.36M
8,Avg Vol (10 day) 3,2.44M
9,Shares Outstanding 5,416.75M
10,Float,414.57M
11,% Held by Insiders 1,0.43%
12,% Held by Institutions 1,93.22%
13,"Shares Short (Jun 14, 2020) 4",10.66M
14,"Short Ratio (Jun 14, 2020) 4",4.48
15,"Short % of Float (Jun 14, 2020) 4",2.96%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.56%
17,"Shares Short (prior month May 14, 2020) 4",9.94M
18,Forward Annual Dividend Rate 4,4.8
19,Forward Annual Dividend Yield 4,2.91%
20,Trailing Annual Dividend Rate 3,4.65
21,Trailing Annual Dividend Yield 3,2.82%
22,5 Year Average Dividend Yield 4,3.61
23,Payout Ratio 4,262.71%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Jun 10, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,14.75%
31,Operating Margin (ttm),27.48%
32,Return on Assets (ttm),2.60%
33,Return on Equity (ttm),7.79%
34,Revenue (ttm),5.78B
35,Revenue Per Share (ttm),13.88
36,Quarterly Revenue Growth (yoy),0.90%
37,Gross Profit (ttm),3.78B
38,EBITDA,3.1B
39,Net Income Avi to Common (ttm),739M
40,Diluted EPS (ttm),1.77
41,Quarterly Earnings Growth (yoy),-4.10%
42,Total Cash (mrq),310M
43,Total Cash Per Share (mrq),0.74
44,Total Debt (mrq),24.56B
45,Total Debt/Equity (mrq),242.68
46,Current Ratio (mrq),0.47
47,Book Value Per Share (mrq),24.27
48,Operating Cash Flow (ttm),2.84B
49,Levered Free Cash Flow (ttm),423.62M
