,Attribute,Value
0,Beta (5Y Monthly),0.59
1,52-Week Change 3,-8.33%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,91.23
4,52 Week Low 3,56.94
5,50-Day Moving Average 3,78.19
6,200-Day Moving Average 3,74.00
7,Avg Vol (3 month) 3,1.97M
8,Avg Vol (10 day) 3,1.71M
9,Shares Outstanding 5,134.61M
10,Float,133.82M
11,% Held by Insiders 1,0.87%
12,% Held by Institutions 1,98.82%
13,"Shares Short (Jun 14, 2020) 4",16.2M
14,"Short Ratio (Jun 14, 2020) 4",8.07
15,"Short % of Float (Jun 14, 2020) 4",14.05%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",12.04%
17,"Shares Short (prior month May 14, 2020) 4",14.46M
18,Forward Annual Dividend Rate 4,2.04
19,Forward Annual Dividend Yield 4,2.64%
20,Trailing Annual Dividend Rate 3,2.02
21,Trailing Annual Dividend Yield 3,2.61%
22,5 Year Average Dividend Yield 4,2.32
23,Payout Ratio 4,56.11%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Jun 03, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Oct 16, 2005"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,3.21%
31,Operating Margin (ttm),4.39%
32,Return on Assets (ttm),8.84%
33,Return on Equity (ttm),30.45%
34,Revenue (ttm),15.36B
35,Revenue Per Share (ttm),112.67
36,Quarterly Revenue Growth (yoy),1.40%
37,Gross Profit (ttm),1.29B
38,EBITDA,758.12M
39,Net Income Avi to Common (ttm),493.33M
40,Diluted EPS (ttm),3.60
41,Quarterly Earnings Growth (yoy),-51.70%
42,Total Cash (mrq),294.57M
43,Total Cash Per Share (mrq),2.19
44,Total Debt (mrq),1.77B
45,Total Debt/Equity (mrq),111.54
46,Current Ratio (mrq),1.44
47,Book Value Per Share (mrq),11.79
48,Operating Cash Flow (ttm),636.99M
49,Levered Free Cash Flow (ttm),465.01M
