,Attribute,Value
0,Beta (5Y Monthly),0.41
1,52-Week Change 3,23.78%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,57.54
4,52 Week Low 3,39.77
5,50-Day Moving Average 3,49.74
6,200-Day Moving Average 3,48.85
7,Avg Vol (3 month) 3,2.7M
8,Avg Vol (10 day) 3,1.85M
9,Shares Outstanding 5,302.16M
10,Float,172.65M
11,% Held by Insiders 1,43.90%
12,% Held by Institutions 1,53.65%
13,"Shares Short (Jun 14, 2020) 4",18.36M
14,"Short Ratio (Jun 14, 2020) 4",5.46
15,"Short % of Float (Jun 14, 2020) 4",9.55%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",6.08%
17,"Shares Short (prior month May 14, 2020) 4",15.96M
18,Forward Annual Dividend Rate 4,1.4
19,Forward Annual Dividend Yield 4,2.82%
20,Trailing Annual Dividend Rate 3,1.40
21,Trailing Annual Dividend Yield 3,2.82%
22,5 Year Average Dividend Yield 4,2.87
23,Payout Ratio 4,85.37%
24,Dividend Date 3,"Apr 26, 2020"
25,Ex-Dividend Date 4,"Jul 13, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Mar 17, 1997"
28,Fiscal Year Ends,"Jul 27, 2019"
29,Most Recent Quarter (mrq),"Apr 25, 2020"
30,Profit Margin,18.34%
31,Operating Margin (ttm),14.80%
32,Return on Assets (ttm),5.84%
33,Return on Equity (ttm),26.24%
34,Revenue (ttm),8.36B
35,Revenue Per Share (ttm),27.72
36,Quarterly Revenue Growth (yoy),14.60%
37,Gross Profit (ttm),2.71B
38,EBITDA,1.49B
39,Net Income Avi to Common (ttm),501M
40,Diluted EPS (ttm),5.05
41,Quarterly Earnings Growth (yoy),100.00%
42,Total Cash (mrq),1.24B
43,Total Cash Per Share (mrq),4.11
44,Total Debt (mrq),6.95B
45,Total Debt/Equity (mrq),269.20
46,Current Ratio (mrq),0.84
47,Book Value Per Share (mrq),8.53
48,Operating Cash Flow (ttm),1.54B
49,Levered Free Cash Flow (ttm),947.12M
