,Attribute,Value
0,Beta (5Y Monthly),0.74
1,52-Week Change 3,17.49%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,77.03
4,52 Week Low 3,52.04
5,50-Day Moving Average 3,64.75
6,200-Day Moving Average 3,65.93
7,Avg Vol (3 month) 3,8.85M
8,Avg Vol (10 day) 3,8.68M
9,Shares Outstanding 5,1.31B
10,Float,1.3B
11,% Held by Insiders 1,0.19%
12,% Held by Institutions 1,79.64%
13,"Shares Short (Jun 14, 2020) 4",19.8M
14,"Short Ratio (Jun 14, 2020) 4",2.73
15,"Short % of Float (Jun 14, 2020) 4",1.52%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.52%
17,"Shares Short (prior month May 14, 2020) 4",18.18M
18,Forward Annual Dividend Rate 4,2
19,Forward Annual Dividend Yield 4,3.12%
20,Trailing Annual Dividend Rate 3,2.00
21,Trailing Annual Dividend Yield 3,3.12%
22,5 Year Average Dividend Yield 4,2.50
23,Payout Ratio 4,36.23%
24,Dividend Date 3,"May 03, 2020"
25,Ex-Dividend Date 4,"Apr 21, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 06, 2005"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,2.77%
31,Operating Margin (ttm),4.77%
32,Return on Assets (ttm),3.46%
33,Return on Equity (ttm),11.50%
34,Revenue (ttm),260.96B
35,Revenue Per Share (ttm),200.28
36,Quarterly Revenue Growth (yoy),8.50%
37,Gross Profit (ttm),44.52B
38,EBITDA,16.81B
39,Net Income Avi to Common (ttm),7.22B
40,Diluted EPS (ttm),5.52
41,Quarterly Earnings Growth (yoy),41.20%
42,Total Cash (mrq),12.71B
43,Total Cash Per Share (mrq),9.73
44,Total Debt (mrq),92.32B
45,Total Debt/Equity (mrq),141.00
46,Current Ratio (mrq),0.99
47,Book Value Per Share (mrq),49.92
48,Operating Cash Flow (ttm),14.2B
49,Levered Free Cash Flow (ttm),11.29B
