,Attribute,Value
0,Beta (5Y Monthly),0.63
1,52-Week Change 3,-13.30%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,119.71
4,52 Week Low 3,60.20
5,50-Day Moving Average 3,86.97
6,200-Day Moving Average 3,85.07
7,Avg Vol (3 month) 3,2.82M
8,Avg Vol (10 day) 3,2.36M
9,Shares Outstanding 5,237.23M
10,Float,233.9M
11,% Held by Insiders 1,1.48%
12,% Held by Institutions 1,96.14%
13,"Shares Short (Jun 14, 2020) 4",4.97M
14,"Short Ratio (Jun 14, 2020) 4",1.47
15,"Short % of Float (Jun 14, 2020) 4",2.71%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.10%
17,"Shares Short (prior month May 14, 2020) 4",4.42M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 26, 2012"
28,Fiscal Year Ends,"Jan 31, 2020"
29,Most Recent Quarter (mrq),"May 01, 2020"
30,Profit Margin,3.35%
31,Operating Margin (ttm),6.77%
32,Return on Assets (ttm),5.12%
33,Return on Equity (ttm),13.14%
34,Revenue (ttm),24.09B
35,Revenue Per Share (ttm),101.67
36,Quarterly Revenue Growth (yoy),8.20%
37,Gross Profit (ttm),8.95B
38,EBITDA,2.29B
39,Net Income Avi to Common (ttm),806.7M
40,Diluted EPS (ttm),3.39
41,Quarterly Earnings Growth (yoy),-7.60%
42,Total Cash (mrq),1.76B
43,Total Cash Per Share (mrq),7.4
44,Total Debt (mrq),10.42B
45,Total Debt/Equity (mrq),159.85
46,Current Ratio (mrq),1.15
47,Book Value Per Share (mrq),27.49
48,Operating Cash Flow (ttm),2.21B
49,Levered Free Cash Flow (ttm),873.06M
