,Attribute,Value
0,Beta (5Y Monthly),
1,52-Week Change 3,-38.73%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,128.41
4,52 Week Low 3,26.15
5,50-Day Moving Average 3,76.02
6,200-Day Moving Average 3,87.54
7,Avg Vol (3 month) 3,3.74M
8,Avg Vol (10 day) 3,4M
9,Shares Outstanding 5,129.82M
10,Float,124.07M
11,% Held by Insiders 1,0.30%
12,% Held by Institutions 1,83.13%
13,"Shares Short (Jun 14, 2020) 4",5.85M
14,"Short Ratio (Jun 14, 2020) 4",1.84
15,"Short % of Float (Jun 14, 2020) 4",5.70%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.50%
17,"Shares Short (prior month May 14, 2020) 4",7.11M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,3.39
21,Trailing Annual Dividend Yield 3,4.54%
22,5 Year Average Dividend Yield 4,2.98
23,Payout Ratio 4,65.83%
24,Dividend Date 3,"Feb 02, 2020"
25,Ex-Dividend Date 4,"Jan 08, 2020"
26,Last Split Factor 2,10000:8939
27,Last Split Date 3,"Nov 09, 2015"
28,Fiscal Year Ends,"May 30, 2020"
29,Most Recent Quarter (mrq),"May 30, 2020"
30,Profit Margin,-0.67%
31,Operating Margin (ttm),5.61%
32,Return on Assets (ttm),3.46%
33,Return on Equity (ttm),-2.08%
34,Revenue (ttm),7.81B
35,Revenue Per Share (ttm),63.63
36,Quarterly Revenue Growth (yoy),-43.00%
37,Gross Profit (ttm),1.41B
38,EBITDA,794M
39,Net Income Avi to Common (ttm),-49.2M
40,Diluted EPS (ttm),-0.43
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),763.3M
43,Total Cash Per Share (mrq),6.13
44,Total Debt (mrq),5.48B
45,Total Debt/Equity (mrq),234.86
46,Current Ratio (mrq),0.61
47,Book Value Per Share (mrq),18.72
48,Operating Cash Flow (ttm),711.3M
49,Levered Free Cash Flow (ttm),252.6M
