,Attribute,Value
0,Beta (5Y Monthly),0.61
1,52-Week Change 3,-17.95%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,135.67
4,52 Week Low 3,71.21
5,50-Day Moving Average 3,105.69
6,200-Day Moving Average 3,113.54
7,Avg Vol (3 month) 3,1.36M
8,Avg Vol (10 day) 3,1.48M
9,Shares Outstanding 5,192.61M
10,Float,191.26M
11,% Held by Insiders 1,0.60%
12,% Held by Institutions 1,75.60%
13,"Shares Short (Jun 14, 2020) 4",4.35M
14,"Short Ratio (Jun 14, 2020) 4",3.36
15,"Short % of Float (Jun 14, 2020) 4",2.94%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.26%
17,"Shares Short (prior month May 14, 2020) 4",4.15M
18,Forward Annual Dividend Rate 4,4.05
19,Forward Annual Dividend Yield 4,3.86%
20,Trailing Annual Dividend Rate 3,3.91
21,Trailing Annual Dividend Yield 3,3.73%
22,5 Year Average Dividend Yield 4,3.17
23,Payout Ratio 4,66.58%
24,Dividend Date 3,"Oct 14, 2020"
25,Ex-Dividend Date 4,"Sep 17, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jan 14, 1963"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,9.10%
31,Operating Margin (ttm),13.92%
32,Return on Assets (ttm),2.66%
33,Return on Equity (ttm),9.61%
34,Revenue (ttm),12.18B
35,Revenue Per Share (ttm),64.94
36,Quarterly Revenue Growth (yoy),-14.00%
37,Gross Profit (ttm),3.42B
38,EBITDA,2.7B
39,Net Income Avi to Common (ttm),1.11B
40,Diluted EPS (ttm),5.89
41,Quarterly Earnings Growth (yoy),-15.20%
42,Total Cash (mrq),552M
43,Total Cash Per Share (mrq),2.87
44,Total Debt (mrq),18.7B
45,Total Debt/Equity (mrq),155.99
46,Current Ratio (mrq),0.89
47,Book Value Per Share (mrq),61.38
48,Operating Cash Flow (ttm),2.96B
49,Levered Free Cash Flow (ttm),-1.15B
