,Attribute,Value
0,Beta (5Y Monthly),0.87
1,52-Week Change 3,10.54%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,82.55
4,52 Week Low 3,51.51
5,50-Day Moving Average 3,72.00
6,200-Day Moving Average 3,72.41
7,Avg Vol (3 month) 3,3.69M
8,Avg Vol (10 day) 3,3.03M
9,Shares Outstanding 5,636M
10,Float,614.7M
11,% Held by Insiders 1,0.67%
12,% Held by Institutions 1,89.06%
13,"Shares Short (Jun 14, 2020) 4",7.27M
14,"Short Ratio (Jun 14, 2020) 4",2.16
15,"Short % of Float (Jun 14, 2020) 4",1.16%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.14%
17,"Shares Short (prior month May 14, 2020) 4",7.41M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,3:1
27,Last Split Date 3,"May 31, 2020"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,24.71%
31,Operating Margin (ttm),28.98%
32,Return on Assets (ttm),14.07%
33,Return on Equity (ttm),30.15%
34,Revenue (ttm),4.48B
35,Revenue Per Share (ttm),7.17
36,Quarterly Revenue Growth (yoy),13.70%
37,Gross Profit (ttm),3.23B
38,EBITDA,1.39B
39,Net Income Avi to Common (ttm),1.11B
40,Diluted EPS (ttm),1.74
41,Quarterly Earnings Growth (yoy),24.40%
42,Total Cash (mrq),1.03B
43,Total Cash Per Share (mrq),1.66
44,Total Debt (mrq),675.2M
45,Total Debt/Equity (mrq),17.31
46,Current Ratio (mrq),3.36
47,Book Value Per Share (mrq),6.30
48,Operating Cash Flow (ttm),1.38B
49,Levered Free Cash Flow (ttm),702.29M
