,Attribute,Value
0,Beta (5Y Monthly),1.18
1,52-Week Change 3,27.86%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,43.20
4,52 Week Low 3,26.72
5,50-Day Moving Average 3,40.58
6,200-Day Moving Average 3,36.63
7,Avg Vol (3 month) 3,4.59M
8,Avg Vol (10 day) 3,3.9M
9,Shares Outstanding 5,572.82M
10,Float,570.63M
11,% Held by Insiders 1,0.33%
12,% Held by Institutions 1,85.44%
13,"Shares Short (Jun 14, 2020) 4",19.21M
14,"Short Ratio (Jun 14, 2020) 4",4.44
15,"Short % of Float (Jun 14, 2020) 4",3.83%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.35%
17,"Shares Short (prior month May 14, 2020) 4",24.92M
18,Forward Annual Dividend Rate 4,1
19,Forward Annual Dividend Yield 4,2.40%
20,Trailing Annual Dividend Rate 3,0.90
21,Trailing Annual Dividend Yield 3,2.17%
22,5 Year Average Dividend Yield 4,2.64
23,Payout Ratio 4,65.11%
24,Dividend Date 3,"May 25, 2020"
25,Ex-Dividend Date 4,"Apr 26, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 22, 2019"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,14.83%
31,Operating Margin (ttm),19.77%
32,Return on Assets (ttm),17.56%
33,Return on Equity (ttm),31.64%
34,Revenue (ttm),5.39B
35,Revenue Per Share (ttm),9.40
36,Quarterly Revenue Growth (yoy),4.40%
37,Gross Profit (ttm),2.52B
38,EBITDA,1.22B
39,Net Income Avi to Common (ttm),799.4M
40,Diluted EPS (ttm),1.39
41,Quarterly Earnings Growth (yoy),4.40%
42,Total Cash (mrq),160.7M
43,Total Cash Per Share (mrq),0.28
44,Total Debt (mrq),699.1M
45,Total Debt/Equity (mrq),26.32
46,Current Ratio (mrq),4.25
47,Book Value Per Share (mrq),4.64
48,Operating Cash Flow (ttm),878.9M
49,Levered Free Cash Flow (ttm),495.26M
