,Attribute,Value
0,Beta (5Y Monthly),1.32
1,52-Week Change 3,-17.10%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,178.50
4,52 Week Low 3,88.69
5,50-Day Moving Average 3,128.64
6,200-Day Moving Average 3,135.72
7,Avg Vol (3 month) 3,2.57M
8,Avg Vol (10 day) 3,1.95M
9,Shares Outstanding 5,261.25M
10,Float,240.78M
11,% Held by Insiders 1,7.72%
12,% Held by Institutions 1,75.09%
13,"Shares Short (Jun 14, 2020) 4",6.25M
14,"Short Ratio (Jun 14, 2020) 4",2.28
15,"Short % of Float (Jun 14, 2020) 4",2.59%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.39%
17,"Shares Short (prior month May 14, 2020) 4",5.85M
18,Forward Annual Dividend Rate 4,2.6
19,Forward Annual Dividend Yield 4,1.92%
20,Trailing Annual Dividend Rate 3,2.60
21,Trailing Annual Dividend Yield 3,1.92%
22,5 Year Average Dividend Yield 4,1.03
23,Payout Ratio 4,
24,Dividend Date 3,"Jul 12, 2020"
25,Ex-Dividend Date 4,"Jun 25, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 06, 1999"
28,Fiscal Year Ends,"May 30, 2019"
29,Most Recent Quarter (mrq),"Feb 28, 2020"
30,Profit Margin,-0.50%
31,Operating Margin (ttm),0.67%
32,Return on Assets (ttm),0.47%
33,Return on Equity (ttm),-1.80%
34,Revenue (ttm),69.67B
35,Revenue Per Share (ttm),266.66
36,Quarterly Revenue Growth (yoy),2.80%
37,Gross Profit (ttm),14.93B
38,EBITDA,4.02B
39,Net Income Avi to Common (ttm),-350M
40,Diluted EPS (ttm),-1.34
41,Quarterly Earnings Growth (yoy),-57.40%
42,Total Cash (mrq),1.77B
43,Total Cash Per Share (mrq),6.76
44,Total Debt (mrq),33.44B
45,Total Debt/Equity (mrq),177.59
46,Current Ratio (mrq),1.22
47,Book Value Per Share (mrq),72.08
48,Operating Cash Flow (ttm),5.57B
49,Levered Free Cash Flow (ttm),-2.94B
