,Attribute,Value
0,Beta (5Y Monthly),1.17
1,52-Week Change 3,10.78%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,125.12
4,52 Week Low 3,70.06
5,50-Day Moving Average 3,106.68
6,200-Day Moving Average 3,105.59
7,Avg Vol (3 month) 3,1.26M
8,Avg Vol (10 day) 3,920.41k
9,Shares Outstanding 5,171.47M
10,Float,169.89M
11,% Held by Insiders 1,0.96%
12,% Held by Institutions 1,108.04%
13,"Shares Short (Jun 14, 2020) 4",4.21M
14,"Short Ratio (Jun 14, 2020) 4",3.33
15,"Short % of Float (Jun 14, 2020) 4",2.47%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.46%
17,"Shares Short (prior month May 14, 2020) 4",5.14M
18,Forward Annual Dividend Rate 4,0.8
19,Forward Annual Dividend Yield 4,0.76%
20,Trailing Annual Dividend Rate 3,0.77
21,Trailing Annual Dividend Yield 3,0.71%
22,5 Year Average Dividend Yield 4,0.77
23,Payout Ratio 4,14.79%
24,Dividend Date 3,"May 13, 2020"
25,Ex-Dividend Date 4,"Apr 28, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,27.50%
31,Operating Margin (ttm),35.08%
32,Return on Assets (ttm),0.82%
33,Return on Equity (ttm),9.51%
34,Revenue (ttm),3.35B
35,Revenue Per Share (ttm),19.87
36,Quarterly Revenue Growth (yoy),9.40%
37,Gross Profit (ttm),3.28B
38,EBITDA,
39,Net Income Avi to Common (ttm),873.12M
40,Diluted EPS (ttm),5.14
41,Quarterly Earnings Growth (yoy),-3.50%
42,Total Cash (mrq),3.98B
43,Total Cash Per Share (mrq),23.21
44,Total Debt (mrq),18.97B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),53.76
48,Operating Cash Flow (ttm),929.82M
49,Levered Free Cash Flow (ttm),
