,Attribute,Value
0,Beta (5Y Monthly),1.46
1,52-Week Change 3,-43.46%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,19.86
4,52 Week Low 3,5.26
5,50-Day Moving Average 3,9.77
6,200-Day Moving Average 3,12.52
7,Avg Vol (3 month) 3,14.08M
8,Avg Vol (10 day) 3,13.95M
9,Shares Outstanding 5,373.47M
10,Float,228.55M
11,% Held by Insiders 1,44.28%
12,% Held by Institutions 1,63.54%
13,"Shares Short (Jun 14, 2020) 4",34.16M
14,"Short Ratio (Jun 14, 2020) 4",1.91
15,"Short % of Float (Jun 14, 2020) 4",17.49%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",9.15%
17,"Shares Short (prior month May 14, 2020) 4",41.19M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,0.97
21,Trailing Annual Dividend Yield 3,9.55%
22,5 Year Average Dividend Yield 4,4.24
23,Payout Ratio 4,
24,Dividend Date 3,"Apr 27, 2021"
25,Ex-Dividend Date 4,"Apr 05, 2021"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Jun 21, 1999"
28,Fiscal Year Ends,"Jan 31, 2020"
29,Most Recent Quarter (mrq),"May 01, 2020"
30,Profit Margin,-5.47%
31,Operating Margin (ttm),2.62%
32,Return on Assets (ttm),1.84%
33,Return on Equity (ttm),-27.45%
34,Revenue (ttm),14.78B
35,Revenue Per Share (ttm),39.50
36,Quarterly Revenue Growth (yoy),-43.10%
37,Gross Profit (ttm),8B
38,EBITDA,936M
39,Net Income Avi to Common (ttm),-808M
40,Diluted EPS (ttm),-2.17
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.08B
43,Total Cash Per Share (mrq),2.89
44,Total Debt (mrq),7.97B
45,Total Debt/Equity (mrq),343.85
46,Current Ratio (mrq),1.23
47,Book Value Per Share (mrq),6.21
48,Operating Cash Flow (ttm),442M
49,Levered Free Cash Flow (ttm),152M
