,Attribute,Value
0,Beta (5Y Monthly),0.99
1,52-Week Change 3,10.33%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,346.60
4,52 Week Low 3,200.61
5,50-Day Moving Average 3,301.43
6,200-Day Moving Average 3,296.92
7,Avg Vol (3 month) 3,350.22k
8,Avg Vol (10 day) 3,297.19k
9,Shares Outstanding 5,53.67M
10,Float,44.77M
11,% Held by Insiders 1,13.72%
12,% Held by Institutions 1,75.10%
13,"Shares Short (Jun 14, 2020) 4",1.01M
14,"Short Ratio (Jun 14, 2020) 4",2.87
15,"Short % of Float (Jun 14, 2020) 4",2.64%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.90%
17,"Shares Short (prior month May 14, 2020) 4",1.01M
18,Forward Annual Dividend Rate 4,5.76
19,Forward Annual Dividend Yield 4,1.95%
20,Trailing Annual Dividend Rate 3,5.76
21,Trailing Annual Dividend Yield 3,1.95%
22,5 Year Average Dividend Yield 4,2.06
23,Payout Ratio 4,41.05%
24,Dividend Date 3,"May 31, 2020"
25,Ex-Dividend Date 4,"May 07, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 14, 1998"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,6.58%
31,Operating Margin (ttm),11.85%
32,Return on Assets (ttm),13.12%
33,Return on Equity (ttm),39.12%
34,Revenue (ttm),11.69B
35,Revenue Per Share (ttm),215.65
36,Quarterly Revenue Growth (yoy),7.20%
37,Gross Profit (ttm),4.4B
38,EBITDA,1.6B
39,Net Income Avi to Common (ttm),769M
40,Diluted EPS (ttm),14.02
41,Quarterly Earnings Growth (yoy),-31.60%
42,Total Cash (mrq),1.49B
43,Total Cash Per Share (mrq),27.91
44,Total Debt (mrq),3.34B
45,Total Debt/Equity (mrq),164.58
46,Current Ratio (mrq),3.28
47,Book Value Per Share (mrq),33.85
48,Operating Cash Flow (ttm),1.16B
49,Levered Free Cash Flow (ttm),749M
