,Attribute,Value
0,Beta (5Y Monthly),1.06
1,52-Week Change 3,-11.59%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,178.14
4,52 Week Low 3,104.56
5,50-Day Moving Average 3,155.16
6,200-Day Moving Average 3,156.47
7,Avg Vol (3 month) 3,588.15k
8,Avg Vol (10 day) 3,419.96k
9,Shares Outstanding 5,75.39M
10,Float,75M
11,% Held by Insiders 1,0.44%
12,% Held by Institutions 1,100.14%
13,"Shares Short (Jun 14, 2020) 4",1.4M
14,"Short Ratio (Jun 14, 2020) 4",2.44
15,"Short % of Float (Jun 14, 2020) 4",2.09%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.85%
17,"Shares Short (prior month May 14, 2020) 4",1.41M
18,Forward Annual Dividend Rate 4,2
19,Forward Annual Dividend Yield 4,1.31%
20,Trailing Annual Dividend Rate 3,2.00
21,Trailing Annual Dividend Yield 3,1.31%
22,5 Year Average Dividend Yield 4,1.31
23,Payout Ratio 4,36.70%
24,Dividend Date 3,"Jul 30, 2020"
25,Ex-Dividend Date 4,"Jul 14, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"May 21, 2007"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,16.92%
31,Operating Margin (ttm),24.05%
32,Return on Assets (ttm),9.90%
33,Return on Equity (ttm),19.48%
34,Revenue (ttm),2.47B
35,Revenue Per Share (ttm),32.60
36,Quarterly Revenue Growth (yoy),-4.50%
37,Gross Profit (ttm),1.13B
38,EBITDA,671.52M
39,Net Income Avi to Common (ttm),417.25M
40,Diluted EPS (ttm),5.45
41,Quarterly Earnings Growth (yoy),-7.50%
42,Total Cash (mrq),569.22M
43,Total Cash Per Share (mrq),7.55
44,Total Debt (mrq),1.1B
45,Total Debt/Equity (mrq),49.16
46,Current Ratio (mrq),3.51
47,Book Value Per Share (mrq),29.61
48,Operating Cash Flow (ttm),524.16M
49,Levered Free Cash Flow (ttm),376.85M
