,Attribute,Value
0,Beta (5Y Monthly),1.34
1,52-Week Change 3,-22.02%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,47.64
4,52 Week Low 3,26.38
5,50-Day Moving Average 3,34.52
6,200-Day Moving Average 3,37.57
7,Avg Vol (3 month) 3,3.45M
8,Avg Vol (10 day) 3,3.36M
9,Shares Outstanding 5,393.04M
10,Float,391.59M
11,% Held by Insiders 1,0.24%
12,% Held by Institutions 1,85.03%
13,"Shares Short (Jun 14, 2020) 4",9.71M
14,"Short Ratio (Jun 14, 2020) 4",3.4
15,"Short % of Float (Jun 14, 2020) 4",3.03%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.47%
17,"Shares Short (prior month May 14, 2020) 4",10.56M
18,Forward Annual Dividend Rate 4,2.05
19,Forward Annual Dividend Yield 4,6.07%
20,Trailing Annual Dividend Rate 3,2.03
21,Trailing Annual Dividend Yield 3,5.99%
22,5 Year Average Dividend Yield 4,4.02
23,Payout Ratio 4,121.99%
24,Dividend Date 3,"Jun 14, 2020"
25,Ex-Dividend Date 4,"May 25, 2020"
26,Last Split Factor 2,1014:1000
27,Last Split Date 3,"Jul 01, 2014"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,2.99%
31,Operating Margin (ttm),10.26%
32,Return on Assets (ttm),4.20%
33,Return on Equity (ttm),9.11%
34,Revenue (ttm),22.08B
35,Revenue Per Share (ttm),56.15
36,Quarterly Revenue Growth (yoy),-5.20%
37,Gross Profit (ttm),7.11B
38,EBITDA,3.58B
39,Net Income Avi to Common (ttm),660M
40,Diluted EPS (ttm),1.66
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.24B
43,Total Cash Per Share (mrq),3.15
44,Total Debt (mrq),10.65B
45,Total Debt/Equity (mrq),155.23
46,Current Ratio (mrq),0.77
47,Book Value Per Share (mrq),17.46
48,Operating Cash Flow (ttm),3.53B
49,Levered Free Cash Flow (ttm),6.15B
