,Attribute,Value
0,Beta (5Y Monthly),1.06
1,52-Week Change 3,-25.69%
2,S&P500 52-Week Change 3,
3,52 Week High 3,25.20
4,52 Week Low 3,11.63
5,50-Day Moving Average 3,17.23
6,200-Day Moving Average 3,19.30
7,Avg Vol (3 month) 3,5.47M
8,Avg Vol (10 day) 3,4.8M
9,Shares Outstanding 5,389.61M
10,Float,386.68M
11,% Held by Insiders 1,0.65%
12,% Held by Institutions 1,104.02%
13,"Shares Short (Jun 14, 2020) 4",18.69M
14,"Short Ratio (Jun 14, 2020) 4",3.65
15,"Short % of Float (Jun 14, 2020) 4",7.42%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.80%
17,"Shares Short (prior month May 14, 2020) 4",22.85M
18,Forward Annual Dividend Rate 4,1.02
19,Forward Annual Dividend Yield 4,6.20%
20,Trailing Annual Dividend Rate 3,0.96
21,Trailing Annual Dividend Yield 3,5.83%
22,5 Year Average Dividend Yield 4,3.26
23,Payout Ratio 4,56.14%
24,Dividend Date 3,"Jun 14, 2020"
25,Ex-Dividend Date 4,"May 28, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,7.78%
31,Operating Margin (ttm),12.90%
32,Return on Assets (ttm),4.26%
33,Return on Equity (ttm),26.15%
34,Revenue (ttm),8.59B
35,Revenue Per Share (ttm),22.21
36,Quarterly Revenue Growth (yoy),-1.60%
37,Gross Profit (ttm),1.81B
38,EBITDA,1.39B
39,Net Income Avi to Common (ttm),668.7M
40,Diluted EPS (ttm),1.70
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.55B
43,Total Cash Per Share (mrq),3.99
44,Total Debt (mrq),5.87B
45,Total Debt/Equity (mrq),214.93
46,Current Ratio (mrq),0.97
47,Book Value Per Share (mrq),6.50
48,Operating Cash Flow (ttm),1.35B
49,Levered Free Cash Flow (ttm),1.04B
