,Attribute,Value
0,Beta (5Y Monthly),1.37
1,52-Week Change 3,-51.76%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,43.37
4,52 Week Low 3,12.27
5,50-Day Moving Average 3,17.69
6,200-Day Moving Average 3,27.32
7,Avg Vol (3 month) 3,8.55M
8,Avg Vol (10 day) 3,13.03M
9,Shares Outstanding 5,157.03M
10,Float,105.34M
11,% Held by Insiders 1,32.72%
12,% Held by Institutions 1,73.73%
13,"Shares Short (Jun 14, 2020) 4",35.99M
14,"Short Ratio (Jun 14, 2020) 4",3.2
15,"Short % of Float (Jun 14, 2020) 4",28.83%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",22.92%
17,"Shares Short (prior month May 14, 2020) 4",35.09M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,1.48
21,Trailing Annual Dividend Yield 3,9.63%
22,5 Year Average Dividend Yield 4,3.47
23,Payout Ratio 4,
24,Dividend Date 3,"Mar 24, 2020"
25,Ex-Dividend Date 4,"Mar 08, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 30, 2005"
28,Fiscal Year Ends,"Jan 31, 2020"
29,Most Recent Quarter (mrq),"May 01, 2020"
30,Profit Margin,-0.44%
31,Operating Margin (ttm),2.07%
32,Return on Assets (ttm),1.90%
33,Return on Equity (ttm),-11.83%
34,Revenue (ttm),14.2B
35,Revenue Per Share (ttm),91.29
36,Quarterly Revenue Growth (yoy),-38.50%
37,Gross Profit (ttm),5.59B
38,EBITDA,968M
39,Net Income Avi to Common (ttm),-62M
40,Diluted EPS (ttm),-0.40
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.36B
43,Total Cash Per Share (mrq),8.63
44,Total Debt (mrq),6.14B
45,Total Debt/Equity (mrq),1547.35
46,Current Ratio (mrq),0.96
47,Book Value Per Share (mrq),2.54
48,Operating Cash Flow (ttm),489M
49,Levered Free Cash Flow (ttm),8.5M
