,Attribute,Value
0,Beta (5Y Monthly),0.58
1,52-Week Change 3,22.29%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,71.05
4,52 Week Low 3,52.66
5,50-Day Moving Average 3,64.82
6,200-Day Moving Average 3,65.17
7,Avg Vol (3 month) 3,2.38M
8,Avg Vol (10 day) 3,3.29M
9,Shares Outstanding 5,342.67M
10,Float,278.81M
11,% Held by Insiders 1,0.69%
12,% Held by Institutions 1,89.77%
13,"Shares Short (Jun 14, 2020) 4",11.41M
14,"Short Ratio (Jun 14, 2020) 4",4.69
15,"Short % of Float (Jun 14, 2020) 4",4.16%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.33%
17,"Shares Short (prior month May 14, 2020) 4",11.14M
18,Forward Annual Dividend Rate 4,2.28
19,Forward Annual Dividend Yield 4,3.48%
20,Trailing Annual Dividend Rate 3,2.27
21,Trailing Annual Dividend Yield 3,3.47%
22,5 Year Average Dividend Yield 4,3.18
23,Payout Ratio 4,75.92%
24,Dividend Date 3,"Jun 14, 2020"
25,Ex-Dividend Date 4,"May 28, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Aug 24, 1997"
28,Fiscal Year Ends,"Dec 27, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,7.61%
31,Operating Margin (ttm),12.86%
32,Return on Assets (ttm),5.90%
33,Return on Equity (ttm),33.03%
34,Revenue (ttm),13.47B
35,Revenue Per Share (ttm),39.50
36,Quarterly Revenue Growth (yoy),-3.10%
37,Gross Profit (ttm),4.43B
38,EBITDA,2.21B
39,Net Income Avi to Common (ttm),1.02B
40,Diluted EPS (ttm),2.99
41,Quarterly Earnings Growth (yoy),23.00%
42,Total Cash (mrq),1.02B
43,Total Cash Per Share (mrq),2.96
44,Total Debt (mrq),9.11B
45,Total Debt/Equity (mrq),283.56
46,Current Ratio (mrq),0.77
47,Book Value Per Share (mrq),7.80
48,Operating Cash Flow (ttm),1.5B
49,Levered Free Cash Flow (ttm),1.12B
