,Attribute,Value
0,Beta (5Y Monthly),0.93
1,52-Week Change 3,20.90%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,178.59
4,52 Week Low 3,92.86
5,50-Day Moving Average 3,146.49
6,200-Day Moving Average 3,147.28
7,Avg Vol (3 month) 3,1.29M
8,Avg Vol (10 day) 3,1.3M
9,Shares Outstanding 5,95.02M
10,Float,94.38M
11,% Held by Insiders 1,0.50%
12,% Held by Institutions 1,96.10%
13,"Shares Short (Jun 14, 2020) 4",1.71M
14,"Short Ratio (Jun 14, 2020) 4",1.62
15,"Short % of Float (Jun 14, 2020) 4",2.04%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.80%
17,"Shares Short (prior month May 14, 2020) 4",2.02M
18,Forward Annual Dividend Rate 4,1.6
19,Forward Annual Dividend Yield 4,1.09%
20,Trailing Annual Dividend Rate 3,1.52
21,Trailing Annual Dividend Yield 3,1.03%
22,5 Year Average Dividend Yield 4,1.32
23,Payout Ratio 4,25.50%
24,Dividend Date 3,"Jul 07, 2020"
25,Ex-Dividend Date 4,"Jun 04, 2020"
26,Last Split Factor 2,1:2
27,Last Split Date 3,"Jul 12, 2000"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,20.11%
31,Operating Margin (ttm),38.39%
32,Return on Assets (ttm),7.23%
33,Return on Equity (ttm),11.90%
34,Revenue (ttm),2.92B
35,Revenue Per Share (ttm),29.79
36,Quarterly Revenue Growth (yoy),8.40%
37,Gross Profit (ttm),1.42B
38,EBITDA,1.47B
39,Net Income Avi to Common (ttm),587.7M
40,Diluted EPS (ttm),5.96
41,Quarterly Earnings Growth (yoy),47.70%
42,Total Cash (mrq),91M
43,Total Cash Per Share (mrq),0.96
44,Total Debt (mrq),3.3B
45,Total Debt/Equity (mrq),69.20
46,Current Ratio (mrq),1.32
47,Book Value Per Share (mrq),46.65
48,Operating Cash Flow (ttm),1.11B
49,Levered Free Cash Flow (ttm),443.52M
