,Attribute,Value
0,Beta (5Y Monthly),1.34
1,52-Week Change 3,66.42%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,344.32
4,52 Week Low 3,178.92
5,50-Day Moving Average 3,282.19
6,200-Day Moving Average 3,280.38
7,Avg Vol (3 month) 3,2.27M
8,Avg Vol (10 day) 3,1.87M
9,Shares Outstanding 5,145.16M
10,Float,144.55M
11,% Held by Insiders 1,0.32%
12,% Held by Institutions 1,89.83%
13,"Shares Short (Jun 14, 2020) 4",4.38M
14,"Short Ratio (Jun 14, 2020) 4",2.06
15,"Short % of Float (Jun 14, 2020) 4",3.02%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.02%
17,"Shares Short (prior month May 14, 2020) 4",4.16M
18,Forward Annual Dividend Rate 4,4.6
19,Forward Annual Dividend Yield 4,1.47%
20,Trailing Annual Dividend Rate 3,4.55
21,Trailing Annual Dividend Yield 3,1.46%
22,5 Year Average Dividend Yield 4,1.48
23,Payout Ratio 4,32.76%
24,Dividend Date 3,"Jul 07, 2020"
25,Ex-Dividend Date 4,"Jun 15, 2020"
26,Last Split Factor 2,3:1
27,Last Split Date 3,"Mar 16, 2000"
28,Fiscal Year Ends,"Jun 29, 2019"
29,Most Recent Quarter (mrq),"Mar 28, 2020"
30,Profit Margin,21.81%
31,Operating Margin (ttm),26.37%
32,Return on Assets (ttm),12.27%
33,Return on Equity (ttm),42.67%
34,Revenue (ttm),9.61B
35,Revenue Per Share (ttm),66.05
36,Quarterly Revenue Growth (yoy),2.60%
37,Gross Profit (ttm),4.36B
38,EBITDA,2.8B
39,Net Income Avi to Common (ttm),2.1B
40,Diluted EPS (ttm),13.89
41,Quarterly Earnings Growth (yoy),5.00%
42,Total Cash (mrq),5.39B
43,Total Cash Per Share (mrq),37.15
44,Total Debt (mrq),5.29B
45,Total Debt/Equity (mrq),116.53
46,Current Ratio (mrq),4.47
47,Book Value Per Share (mrq),31.26
48,Operating Cash Flow (ttm),2.19B
49,Levered Free Cash Flow (ttm),1.14B
