,Attribute,Value
0,Beta (5Y Monthly),0.66
1,52-Week Change 3,-15.74%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,187.49
4,52 Week Low 3,120.77
5,50-Day Moving Average 3,139.06
6,200-Day Moving Average 3,155.63
7,Avg Vol (3 month) 3,1.66M
8,Avg Vol (10 day) 3,1.6M
9,Shares Outstanding 5,175.7M
10,Float,169.36M
11,% Held by Insiders 1,0.43%
12,% Held by Institutions 1,88.33%
13,"Shares Short (Jun 14, 2020) 4",2.66M
14,"Short Ratio (Jun 14, 2020) 4",1.49
15,"Short % of Float (Jun 14, 2020) 4",2.04%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.56%
17,"Shares Short (prior month May 14, 2020) 4",2.32M
18,Forward Annual Dividend Rate 4,2.56
19,Forward Annual Dividend Yield 4,1.82%
20,Trailing Annual Dividend Rate 3,2.42
21,Trailing Annual Dividend Yield 3,1.72%
22,5 Year Average Dividend Yield 4,1.86
23,Payout Ratio 4,46.45%
24,Dividend Date 3,"Jul 14, 2020"
25,Ex-Dividend Date 4,"Jun 11, 2020"
26,Last Split Factor 2,10000:40425
27,Last Split Date 3,"Jan 03, 2011"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,11.59%
31,Operating Margin (ttm),21.88%
32,Return on Assets (ttm),10.41%
33,Return on Equity (ttm),
34,Revenue (ttm),7.89B
35,Revenue Per Share (ttm),46.87
36,Quarterly Revenue Growth (yoy),-0.10%
37,Gross Profit (ttm),3.95B
38,EBITDA,2.12B
39,Net Income Avi to Common (ttm),914M
40,Diluted EPS (ttm),5.21
41,Quarterly Earnings Growth (yoy),30.50%
42,Total Cash (mrq),1.67B
43,Total Cash Per Share (mrq),9.83
44,Total Debt (mrq),6.5B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),1.15
47,Book Value Per Share (mrq),-5.58
48,Operating Cash Flow (ttm),1.88B
49,Levered Free Cash Flow (ttm),1.36B
