,Attribute,Value
0,Beta (5Y Monthly),1.81
1,52-Week Change 3,-44.71%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,25.81
4,52 Week Low 3,8.00
5,50-Day Moving Average 3,12.81
6,200-Day Moving Average 3,16.63
7,Avg Vol (3 month) 3,4.76M
8,Avg Vol (10 day) 3,4.91M
9,Shares Outstanding 5,388.22M
10,Float,386.34M
11,% Held by Insiders 1,0.42%
12,% Held by Institutions 1,98.47%
13,"Shares Short (Jun 14, 2020) 4",17.92M
14,"Short Ratio (Jun 14, 2020) 4",4.16
15,"Short % of Float (Jun 14, 2020) 4",4.63%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.62%
17,"Shares Short (prior month May 14, 2020) 4",23.98M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,0.20
21,Trailing Annual Dividend Yield 3,1.63%
22,5 Year Average Dividend Yield 4,1.94
23,Payout Ratio 4,
24,Dividend Date 3,"Mar 26, 2020"
25,Ex-Dividend Date 4,"Mar 11, 2020"
26,Last Split Factor 2,1109:1000
27,Last Split Date 3,"Jun 01, 2014"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-95.76%
31,Operating Margin (ttm),-5.57%
32,Return on Assets (ttm),-1.91%
33,Return on Equity (ttm),-83.19%
34,Revenue (ttm),8.42B
35,Revenue Per Share (ttm),22.00
36,Quarterly Revenue Growth (yoy),-2.90%
37,Gross Profit (ttm),845M
38,EBITDA,-8M
39,Net Income Avi to Common (ttm),-8.06B
40,Diluted EPS (ttm),-21.07
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.12B
43,Total Cash Per Share (mrq),2.87
44,Total Debt (mrq),2.76B
45,Total Debt/Equity (mrq),49.75
46,Current Ratio (mrq),2.73
47,Book Value Per Share (mrq),14.13
48,Operating Cash Flow (ttm),791M
49,Levered Free Cash Flow (ttm),914.25M
