,Attribute,Value
0,Beta (5Y Monthly),0.65
1,52-Week Change 3,-13.63%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,84.92
4,52 Week Low 3,38.00
5,50-Day Moving Average 3,57.36
6,200-Day Moving Average 3,64.57
7,Avg Vol (3 month) 3,3.73M
8,Avg Vol (10 day) 3,4.54M
9,Shares Outstanding 5,343.42M
10,Float,342.69M
11,% Held by Insiders 1,0.16%
12,% Held by Institutions 1,74.66%
13,"Shares Short (Jun 14, 2020) 4",9.46M
14,"Short Ratio (Jun 14, 2020) 4",2.68
15,"Short % of Float (Jun 14, 2020) 4",3.71%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.75%
17,"Shares Short (prior month May 14, 2020) 4",8.55M
18,Forward Annual Dividend Rate 4,2.8
19,Forward Annual Dividend Yield 4,4.70%
20,Trailing Annual Dividend Rate 3,2.74
21,Trailing Annual Dividend Yield 3,4.60%
22,5 Year Average Dividend Yield 4,4.23
23,Payout Ratio 4,188.83%
24,Dividend Date 3,"Jul 14, 2020"
25,Ex-Dividend Date 4,"Jun 29, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jan 02, 2005"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,30.45%
31,Operating Margin (ttm),49.57%
32,Return on Assets (ttm),2.78%
33,Return on Equity (ttm),5.14%
34,Revenue (ttm),1.55B
35,Revenue Per Share (ttm),4.79
36,Quarterly Revenue Growth (yoy),16.90%
37,Gross Profit (ttm),1.4B
38,EBITDA,1.41B
39,Net Income Avi to Common (ttm),472.37M
40,Diluted EPS (ttm),1.46
41,Quarterly Earnings Growth (yoy),32.30%
42,Total Cash (mrq),41.8M
43,Total Cash Per Share (mrq),0.12
44,Total Debt (mrq),7.73B
45,Total Debt/Equity (mrq),74.21
46,Current Ratio (mrq),0.89
47,Book Value Per Share (mrq),30.25
48,Operating Cash Flow (ttm),1.12B
49,Levered Free Cash Flow (ttm),795.09M
