,Attribute,Value
0,Beta (5Y Monthly),1.16
1,52-Week Change 3,2.22%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,83.41
4,52 Week Low 3,49.11
5,50-Day Moving Average 3,72.44
6,200-Day Moving Average 3,71.47
7,Avg Vol (3 month) 3,2.02M
8,Avg Vol (10 day) 3,1.38M
9,Shares Outstanding 5,345.73M
10,Float,339.21M
11,% Held by Insiders 1,2.01%
12,% Held by Institutions 1,65.42%
13,"Shares Short (Jun 14, 2020) 4",4.28M
14,"Short Ratio (Jun 14, 2020) 4",2.28
15,"Short % of Float (Jun 14, 2020) 4",1.26%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.24%
17,"Shares Short (prior month May 14, 2020) 4",4.91M
18,Forward Annual Dividend Rate 4,1.28
19,Forward Annual Dividend Yield 4,1.75%
20,Trailing Annual Dividend Rate 3,1.28
21,Trailing Annual Dividend Yield 3,1.75%
22,5 Year Average Dividend Yield 4,1.63
23,Payout Ratio 4,21.02%
24,Dividend Date 3,"Jun 01, 2020"
25,Ex-Dividend Date 4,"May 10, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Oct 09, 2007"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,8.73%
31,Operating Margin (ttm),11.01%
32,Return on Assets (ttm),6.25%
33,Return on Equity (ttm),22.60%
34,Revenue (ttm),24.27B
35,Revenue Per Share (ttm),69.99
36,Quarterly Revenue Growth (yoy),-20.40%
37,Gross Profit (ttm),3.86B
38,EBITDA,3.14B
39,Net Income Avi to Common (ttm),2.12B
40,Diluted EPS (ttm),6.09
41,Quarterly Earnings Growth (yoy),-42.90%
42,Total Cash (mrq),4.33B
43,Total Cash Per Share (mrq),12.52
44,Total Debt (mrq),11.19B
45,Total Debt/Equity (mrq),116.13
46,Current Ratio (mrq),5.05
47,Book Value Per Share (mrq),27.88
48,Operating Cash Flow (ttm),2.92B
49,Levered Free Cash Flow (ttm),66.5M
