,Attribute,Value
0,Beta (5Y Monthly),0.59
1,52-Week Change 3,0.21%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,147.20
4,52 Week Low 3,101.42
5,50-Day Moving Average 3,131.93
6,200-Day Moving Average 3,133.93
7,Avg Vol (3 month) 3,5.94M
8,Avg Vol (10 day) 3,4.57M
9,Shares Outstanding 5,1.39B
10,Float,1.38B
11,% Held by Insiders 1,0.14%
12,% Held by Institutions 1,73.53%
13,"Shares Short (Jun 14, 2020) 4",9M
14,"Short Ratio (Jun 14, 2020) 4",1.27
15,"Short % of Float (Jun 14, 2020) 4",0.65%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.65%
17,"Shares Short (prior month May 14, 2020) 4",11.69M
18,Forward Annual Dividend Rate 4,4.09
19,Forward Annual Dividend Yield 4,3.11%
20,Trailing Annual Dividend Rate 3,3.82
21,Trailing Annual Dividend Yield 3,2.91%
22,5 Year Average Dividend Yield 4,2.84
23,Payout Ratio 4,74.03%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Jun 03, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 28, 1996"
28,Fiscal Year Ends,"Dec 27, 2019"
29,Most Recent Quarter (mrq),"Mar 20, 2020"
30,Profit Margin,10.62%
31,Operating Margin (ttm),15.67%
32,Return on Assets (ttm),8.32%
33,Return on Equity (ttm),52.28%
34,Revenue (ttm),68.16B
35,Revenue Per Share (ttm),48.86
36,Quarterly Revenue Growth (yoy),7.70%
37,Gross Profit (ttm),37.18B
38,EBITDA,12.57B
39,Net Income Avi to Common (ttm),7.24B
40,Diluted EPS (ttm),5.16
41,Quarterly Earnings Growth (yoy),-5.30%
42,Total Cash (mrq),11.25B
43,Total Cash Per Share (mrq),8.11
44,Total Debt (mrq),41.24B
45,Total Debt/Equity (mrq),304.17
46,Current Ratio (mrq),1.10
47,Book Value Per Share (mrq),9.69
48,Operating Cash Flow (ttm),9.24B
49,Levered Free Cash Flow (ttm),4.67B
