,Attribute,Value
0,Beta (5Y Monthly),0.95
1,52-Week Change 3,-32.45%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,70.13
4,52 Week Low 3,31.80
5,50-Day Moving Average 3,44.51
6,200-Day Moving Average 3,51.37
7,Avg Vol (3 month) 3,1.7M
8,Avg Vol (10 day) 3,1.48M
9,Shares Outstanding 5,169.63M
10,Float,167.23M
11,% Held by Insiders 1,1.04%
12,% Held by Institutions 1,105.10%
13,"Shares Short (Jun 14, 2020) 4",3.89M
14,"Short Ratio (Jun 14, 2020) 4",2.35
15,"Short % of Float (Jun 14, 2020) 4",3.15%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.29%
17,"Shares Short (prior month May 14, 2020) 4",3.96M
18,Forward Annual Dividend Rate 4,2.38
19,Forward Annual Dividend Yield 4,5.28%
20,Trailing Annual Dividend Rate 3,2.35
21,Trailing Annual Dividend Yield 3,5.21%
22,5 Year Average Dividend Yield 4,3.32
23,Payout Ratio 4,298.46%
24,Dividend Date 3,"May 25, 2020"
25,Ex-Dividend Date 4,"May 14, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.66%
31,Operating Margin (ttm),35.23%
32,Return on Assets (ttm),2.26%
33,Return on Equity (ttm),2.00%
34,Revenue (ttm),1.16B
35,Revenue Per Share (ttm),6.92
36,Quarterly Revenue Growth (yoy),-1.50%
37,Gross Profit (ttm),858.53M
38,EBITDA,731.91M
39,Net Income Avi to Common (ttm),123.65M
40,Diluted EPS (ttm),0.74
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),733.25M
43,Total Cash Per Share (mrq),4.33
44,Total Debt (mrq),4.65B
45,Total Debt/Equity (mrq),74.05
46,Current Ratio (mrq),4.90
47,Book Value Per Share (mrq),36.65
48,Operating Cash Flow (ttm),615.59M
49,Levered Free Cash Flow (ttm),511.31M
