,Attribute,Value
0,Beta (5Y Monthly),1.34
1,52-Week Change 3,-59.35%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,165.48
4,52 Week Low 3,42.25
5,50-Day Moving Average 3,65.80
6,200-Day Moving Average 3,97.87
7,Avg Vol (3 month) 3,9.11M
8,Avg Vol (10 day) 3,8.98M
9,Shares Outstanding 5,305.75M
10,Float,303.02M
11,% Held by Insiders 1,56.26%
12,% Held by Institutions 1,0.56%
13,"Shares Short (Jun 14, 2020) 4",23.13M
14,"Short Ratio (Jun 14, 2020) 4",2.13
15,"Short % of Float (Jun 14, 2020) 4",9.95%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",7.56%
17,"Shares Short (prior month May 14, 2020) 4",23.33M
18,Forward Annual Dividend Rate 4,8.4
19,Forward Annual Dividend Yield 4,12.94%
20,Trailing Annual Dividend Rate 3,8.35
21,Trailing Annual Dividend Yield 3,12.86%
22,5 Year Average Dividend Yield 4,4.65
23,Payout Ratio 4,129.26%
24,Dividend Date 3,"Feb 27, 2020"
25,Ex-Dividend Date 4,"Feb 12, 2020"
26,Last Split Factor 2,1063:1000
27,Last Split Date 3,"May 28, 2014"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,35.15%
31,Operating Margin (ttm),50.04%
32,Return on Assets (ttm),5.45%
33,Return on Equity (ttm),69.08%
34,Revenue (ttm),5.66B
35,Revenue Per Share (ttm),18.43
36,Quarterly Revenue Growth (yoy),-0.90%
37,Gross Profit (ttm),4.66B
38,EBITDA,4.17B
39,Net Income Avi to Common (ttm),1.99B
40,Diluted EPS (ttm),6.46
41,Quarterly Earnings Growth (yoy),-20.20%
42,Total Cash (mrq),3.72B
43,Total Cash Per Share (mrq),12.18
44,Total Debt (mrq),28.07B
45,Total Debt/Equity (mrq),1030.97
46,Current Ratio (mrq),0.84
47,Book Value Per Share (mrq),7.00
48,Operating Cash Flow (ttm),3.71B
49,Levered Free Cash Flow (ttm),1.9B
