,Attribute,Value
0,Beta (5Y Monthly),1.05
1,52-Week Change 3,43.91%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,334.66
4,52 Week Low 3,186.06
5,50-Day Moving Average 3,317.35
6,200-Day Moving Average 3,285.00
7,Avg Vol (3 month) 3,1.57M
8,Avg Vol (10 day) 3,1.13M
9,Shares Outstanding 5,240.9M
10,Float,240.42M
11,% Held by Insiders 1,0.12%
12,% Held by Institutions 1,86.82%
13,"Shares Short (Jun 14, 2020) 4",2.9M
14,"Short Ratio (Jun 14, 2020) 4",2.27
15,"Short % of Float (Jun 14, 2020) 4",1.21%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.20%
17,"Shares Short (prior month May 14, 2020) 4",3.06M
18,Forward Annual Dividend Rate 4,2.68
19,Forward Annual Dividend Yield 4,0.82%
20,Trailing Annual Dividend Rate 3,2.38
21,Trailing Annual Dividend Yield 3,0.73%
22,5 Year Average Dividend Yield 4,1.07
23,Payout Ratio 4,24.87%
24,Dividend Date 3,"Jun 09, 2020"
25,Ex-Dividend Date 4,"Aug 24, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 17, 2005"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,34.02%
31,Operating Margin (ttm),50.30%
32,Return on Assets (ttm),21.54%
33,Return on Equity (ttm),123.58%
34,Revenue (ttm),6.91B
35,Revenue Per Share (ttm),28.31
36,Quarterly Revenue Growth (yoy),13.70%
37,Gross Profit (ttm),4.9B
38,EBITDA,3.68B
39,Net Income Avi to Common (ttm),2.35B
40,Diluted EPS (ttm),9.57
41,Quarterly Earnings Growth (yoy),55.90%
42,Total Cash (mrq),1.93B
43,Total Cash Per Share (mrq),8.02
44,Total Debt (mrq),4.66B
45,Total Debt/Equity (mrq),224.49
46,Current Ratio (mrq),1.24
47,Book Value Per Share (mrq),-1.04
48,Operating Cash Flow (ttm),3.16B
49,Levered Free Cash Flow (ttm),2.57B
