,Attribute,Value
0,Beta (5Y Monthly),1.53
1,52-Week Change 3,-6.24%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,173.67
4,52 Week Low 3,70.00
5,50-Day Moving Average 3,127.95
6,200-Day Moving Average 3,135.32
7,Avg Vol (3 month) 3,1.91M
8,Avg Vol (10 day) 3,1.42M
9,Shares Outstanding 5,154.13M
10,Float,153.74M
11,% Held by Insiders 1,0.28%
12,% Held by Institutions 1,89.32%
13,"Shares Short (Jun 14, 2020) 4",4.32M
14,"Short Ratio (Jun 14, 2020) 4",2.36
15,"Short % of Float (Jun 14, 2020) 4",2.83%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.80%
17,"Shares Short (prior month May 14, 2020) 4",5.74M
18,Forward Annual Dividend Rate 4,2.76
19,Forward Annual Dividend Yield 4,2.04%
20,Trailing Annual Dividend Rate 3,2.73
21,Trailing Annual Dividend Yield 3,2.01%
22,5 Year Average Dividend Yield 4,1.87
23,Payout Ratio 4,44.75%
24,Dividend Date 3,"Jun 15, 2020"
25,Ex-Dividend Date 4,"May 31, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 03, 1996"
28,Fiscal Year Ends,"Dec 27, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,6.45%
31,Operating Margin (ttm),11.51%
32,Return on Assets (ttm),4.62%
33,Return on Equity (ttm),10.90%
34,Revenue (ttm),14.24B
35,Revenue Per Share (ttm),95.57
36,Quarterly Revenue Growth (yoy),-6.10%
37,Gross Profit (ttm),4.85B
38,EBITDA,2.2B
39,Net Income Avi to Common (ttm),919.1M
40,Diluted EPS (ttm),6.09
41,Quarterly Earnings Growth (yoy),-21.60%
42,Total Cash (mrq),987.1M
43,Total Cash Per Share (mrq),6.4
44,Total Debt (mrq),6.98B
45,Total Debt/Equity (mrq),77.93
46,Current Ratio (mrq),1.06
47,Book Value Per Share (mrq),48.36
48,Operating Cash Flow (ttm),1.53B
49,Levered Free Cash Flow (ttm),958.83M
