,Attribute,Value
0,Beta (5Y Monthly),0.80
1,52-Week Change 3,38.33%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,130.24
4,52 Week Low 3,80.03
5,50-Day Moving Average 3,119.51
6,200-Day Moving Average 3,114.24
7,Avg Vol (3 month) 3,5.78M
8,Avg Vol (10 day) 3,5.09M
9,Shares Outstanding 5,500.02M
10,Float,498.72M
11,% Held by Insiders 1,0.26%
12,% Held by Institutions 1,84.60%
13,"Shares Short (Jun 14, 2020) 4",16.68M
14,"Short Ratio (Jun 14, 2020) 4",2.72
15,"Short % of Float (Jun 14, 2020) 4",3.34%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.34%
17,"Shares Short (prior month May 14, 2020) 4",18.72M
18,Forward Annual Dividend Rate 4,2.72
19,Forward Annual Dividend Yield 4,2.27%
20,Trailing Annual Dividend Rate 3,2.62
21,Trailing Annual Dividend Yield 3,2.19%
22,5 Year Average Dividend Yield 4,3.18
23,Payout Ratio 4,48.79%
24,Dividend Date 3,"Sep 09, 2020"
25,Ex-Dividend Date 4,"Aug 17, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 19, 2000"
28,Fiscal Year Ends,"Jan 31, 2020"
29,Most Recent Quarter (mrq),"May 01, 2020"
30,Profit Margin,3.46%
31,Operating Margin (ttm),5.37%
32,Return on Assets (ttm),6.29%
33,Return on Equity (ttm),24.78%
34,Revenue (ttm),80.1B
35,Revenue Per Share (ttm),157.92
36,Quarterly Revenue Growth (yoy),11.30%
37,Gross Profit (ttm),23.25B
38,EBITDA,6.9B
39,Net Income Avi to Common (ttm),2.76B
40,Diluted EPS (ttm),5.40
41,Quarterly Earnings Growth (yoy),-64.30%
42,Total Cash (mrq),4.58B
43,Total Cash Per Share (mrq),9.17
44,Total Debt (mrq),16.7B
45,Total Debt/Equity (mrq),149.51
46,Current Ratio (mrq),1.01
47,Book Value Per Share (mrq),22.34
48,Operating Cash Flow (ttm),8.08B
49,Levered Free Cash Flow (ttm),4.47B
