,Attribute,Value
0,Beta (5Y Monthly),1.46
1,52-Week Change 3,-60.38%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,96.03
4,52 Week Low 3,17.80
5,50-Day Moving Average 3,31.79
6,200-Day Moving Average 3,52.90
7,Avg Vol (3 month) 3,57.84M
8,Avg Vol (10 day) 3,70.41M
9,Shares Outstanding 5,290.45M
10,Float,289.24M
11,% Held by Insiders 1,0.36%
12,% Held by Institutions 1,85.49%
13,"Shares Short (Jun 14, 2020) 4",26.56M
14,"Short Ratio (Jun 14, 2020) 4",0.33
15,"Short % of Float (Jun 14, 2020) 4",10.53%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",9.15%
17,"Shares Short (prior month May 14, 2020) 4",35.76M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,"Jan 22, 2008"
25,Ex-Dividend Date 4,"Jan 06, 2008"
26,Last Split Factor 2,4:1
27,Last Split Date 3,"May 20, 1996"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,2.43%
31,Operating Margin (ttm),7.64%
32,Return on Assets (ttm),3.84%
33,Return on Equity (ttm),10.54%
34,Revenue (ttm),41.65B
35,Revenue Per Share (ttm),163.86
36,Quarterly Revenue Growth (yoy),-16.80%
37,Gross Profit (ttm),14.78B
38,EBITDA,5.4B
39,Net Income Avi to Common (ttm),1.01B
40,Diluted EPS (ttm),3.97
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),5.22B
43,Total Cash Per Share (mrq),17.98
44,Total Debt (mrq),23.43B
45,Total Debt/Equity (mrq),248.77
46,Current Ratio (mrq),0.49
47,Book Value Per Share (mrq),38.09
48,Operating Cash Flow (ttm),5.06B
49,Levered Free Cash Flow (ttm),-2.04B
