,Attribute,Value
0,Beta (5Y Monthly),1.48
1,52-Week Change 3,-44.02%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,368.83
4,52 Week Low 3,124.05
5,50-Day Moving Average 3,225.30
6,200-Day Moving Average 3,235.15
7,Avg Vol (3 month) 3,1.27M
8,Avg Vol (10 day) 3,1.68M
9,Shares Outstanding 5,56.31M
10,Float,54.07M
11,% Held by Insiders 1,4.41%
12,% Held by Institutions 1,92.86%
13,"Shares Short (Jun 14, 2020) 4",2.72M
14,"Short Ratio (Jun 14, 2020) 4",2.06
15,"Short % of Float (Jun 14, 2020) 4",5.70%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.84%
17,"Shares Short (prior month May 14, 2020) 4",2.84M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,"May 14, 2012"
25,Ex-Dividend Date 4,"Mar 15, 2012"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Jan 31, 2020"
29,Most Recent Quarter (mrq),"May 01, 2020"
30,Profit Margin,6.37%
31,Operating Margin (ttm),8.52%
32,Return on Assets (ttm),7.06%
33,Return on Equity (ttm),23.55%
34,Revenue (ttm),6.83B
35,Revenue Per Share (ttm),119.19
36,Quarterly Revenue Growth (yoy),-32.70%
37,Gross Profit (ttm),3B
38,EBITDA,881.1M
39,Net Income Avi to Common (ttm),435.22M
40,Diluted EPS (ttm),7.57
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.15B
43,Total Cash Per Share (mrq),20.49
44,Total Debt (mrq),2.79B
45,Total Debt/Equity (mrq),159.00
46,Current Ratio (mrq),2.49
47,Book Value Per Share (mrq),31.15
48,Operating Cash Flow (ttm),805.3M
49,Levered Free Cash Flow (ttm),363.86M
