,Attribute,Value
0,Beta (5Y Monthly),1.07
1,52-Week Change 3,-1.24%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,188.96
4,52 Week Low 3,105.08
5,50-Day Moving Average 3,166.93
6,200-Day Moving Average 3,164.45
7,Avg Vol (3 month) 3,3.79M
8,Avg Vol (10 day) 3,3.63M
9,Shares Outstanding 5,678.57M
10,Float,677.26M
11,% Held by Insiders 1,0.14%
12,% Held by Institutions 1,83.46%
13,"Shares Short (Jun 14, 2020) 4",6.11M
14,"Short Ratio (Jun 14, 2020) 4",1.64
15,"Short % of Float (Jun 14, 2020) 4",0.90%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.90%
17,"Shares Short (prior month May 14, 2020) 4",7.94M
18,Forward Annual Dividend Rate 4,3.88
19,Forward Annual Dividend Yield 4,2.32%
20,Trailing Annual Dividend Rate 3,3.79
21,Trailing Annual Dividend Yield 3,2.27%
22,5 Year Average Dividend Yield 4,2.20
23,Payout Ratio 4,44.07%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"May 27, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 08, 2014"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,27.85%
31,Operating Margin (ttm),40.82%
32,Return on Assets (ttm),8.90%
33,Return on Equity (ttm),35.58%
34,Revenue (ttm),21.55B
35,Revenue Per Share (ttm),31.00
36,Quarterly Revenue Growth (yoy),-2.90%
37,Gross Profit (ttm),11.89B
38,EBITDA,11.01B
39,Net Income Avi to Common (ttm),6B
40,Diluted EPS (ttm),8.60
41,Quarterly Earnings Growth (yoy),6.00%
42,Total Cash (mrq),1.19B
43,Total Cash Per Share (mrq),1.75
44,Total Debt (mrq),29.54B
45,Total Debt/Equity (mrq),184.74
46,Current Ratio (mrq),0.82
47,Book Value Per Share (mrq),23.57
48,Operating Cash Flow (ttm),8.81B
49,Levered Free Cash Flow (ttm),3.5B
