,Attribute,Value
0,Beta (5Y Monthly),1.17
1,52-Week Change 3,-47.94%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,75.40
4,52 Week Low 3,13.35
5,50-Day Moving Average 3,35.63
6,200-Day Moving Average 3,43.18
7,Avg Vol (3 month) 3,4.62M
8,Avg Vol (10 day) 3,5.65M
9,Shares Outstanding 5,373.08M
10,Float,371.59M
11,% Held by Insiders 1,0.41%
12,% Held by Institutions 1,91.86%
13,"Shares Short (Jun 14, 2020) 4",10.8M
14,"Short Ratio (Jun 14, 2020) 4",2.42
15,"Short % of Float (Jun 14, 2020) 4",3.78%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.90%
17,"Shares Short (prior month May 14, 2020) 4",10.94M
18,Forward Annual Dividend Rate 4,1.8
19,Forward Annual Dividend Yield 4,5.06%
20,Trailing Annual Dividend Rate 3,3.17
21,Trailing Annual Dividend Yield 3,8.91%
22,5 Year Average Dividend Yield 4,5.15
23,Payout Ratio 4,150.95%
24,Dividend Date 3,"Jul 13, 2020"
25,Ex-Dividend Date 4,"Jun 29, 2020"
26,Last Split Factor 2,8757:10000
27,Last Split Date 3,"Aug 17, 2015"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,19.94%
31,Operating Margin (ttm),21.17%
32,Return on Assets (ttm),2.10%
33,Return on Equity (ttm),7.37%
34,Revenue (ttm),3.91B
35,Revenue Per Share (ttm),10.58
36,Quarterly Revenue Growth (yoy),5.80%
37,Gross Profit (ttm),2.05B
38,EBITDA,1.76B
39,Net Income Avi to Common (ttm),780.35M
40,Diluted EPS (ttm),2.09
41,Quarterly Earnings Growth (yoy),276.10%
42,Total Cash (mrq),2.85B
43,Total Cash Per Share (mrq),7.63
44,Total Debt (mrq),14.42B
45,Total Debt/Equity (mrq),132.15
46,Current Ratio (mrq),3.04
47,Book Value Per Share (mrq),28.50
48,Operating Cash Flow (ttm),1.42B
49,Levered Free Cash Flow (ttm),1.29B
