,Attribute,Value
0,Beta (5Y Monthly),0.42
1,52-Week Change 3,-4.99%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,62.22
4,52 Week Low 3,48.84
5,50-Day Moving Average 3,55.90
6,200-Day Moving Average 3,57.31
7,Avg Vol (3 month) 3,17.25M
8,Avg Vol (10 day) 3,17.32M
9,Shares Outstanding 5,4.14B
10,Float,4.13B
11,% Held by Insiders 1,0.03%
12,% Held by Institutions 1,68.43%
13,"Shares Short (Jun 14, 2020) 4",31.63M
14,"Short Ratio (Jun 14, 2020) 4",1.77
15,"Short % of Float (Jun 14, 2020) 4",0.77%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.76%
17,"Shares Short (prior month May 14, 2020) 4",30.7M
18,Forward Annual Dividend Rate 4,2.46
19,Forward Annual Dividend Yield 4,4.53%
20,Trailing Annual Dividend Rate 3,2.45
21,Trailing Annual Dividend Yield 3,4.51%
22,5 Year Average Dividend Yield 4,4.47
23,Payout Ratio 4,55.25%
24,Dividend Date 3,"Aug 02, 2020"
25,Ex-Dividend Date 4,"Jul 08, 2020"
26,Last Split Factor 2,1000000:937889
27,Last Split Date 3,"Jul 01, 2010"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,14.00%
31,Operating Margin (ttm),23.91%
32,Return on Assets (ttm),6.79%
33,Return on Equity (ttm),31.76%
34,Revenue (ttm),131.35B
35,Revenue Per Share (ttm),31.74
36,Quarterly Revenue Growth (yoy),-1.60%
37,Gross Profit (ttm),77.14B
38,EBITDA,48.01B
39,Net Income Avi to Common (ttm),18.39B
40,Diluted EPS (ttm),4.43
41,Quarterly Earnings Growth (yoy),-17.40%
42,Total Cash (mrq),7.05B
43,Total Cash Per Share (mrq),1.7
44,Total Debt (mrq),140.68B
45,Total Debt/Equity (mrq),228.18
46,Current Ratio (mrq),0.99
47,Book Value Per Share (mrq),14.55
48,Operating Cash Flow (ttm),37.49B
49,Levered Free Cash Flow (ttm),11.28B
