,Attribute,Value
0,Beta (5Y Monthly),0.75
1,52-Week Change 3,-11.25%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,126.79
4,52 Week Low 3,85.34
5,50-Day Moving Average 3,103.54
6,200-Day Moving Average 3,108.41
7,Avg Vol (3 month) 3,2.59M
8,Avg Vol (10 day) 3,2.27M
9,Shares Outstanding 5,422.02M
10,Float,420.67M
11,% Held by Insiders 1,0.16%
12,% Held by Institutions 1,80.14%
13,"Shares Short (Jun 14, 2020) 4",3.88M
14,"Short Ratio (Jun 14, 2020) 4",1.7
15,"Short % of Float (Jun 14, 2020) 4",0.92%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.92%
17,"Shares Short (prior month May 14, 2020) 4",5.2M
18,Forward Annual Dividend Rate 4,2.18
19,Forward Annual Dividend Yield 4,2.13%
20,Trailing Annual Dividend Rate 3,2.08
21,Trailing Annual Dividend Yield 3,2.03%
22,5 Year Average Dividend Yield 4,2.22
23,Payout Ratio 4,52.72%
24,Dividend Date 3,"Jun 18, 2020"
25,Ex-Dividend Date 4,"Jun 03, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.87%
31,Operating Margin (ttm),17.56%
32,Return on Assets (ttm),6.73%
33,Return on Equity (ttm),25.60%
34,Revenue (ttm),15.49B
35,Revenue Per Share (ttm),36.48
36,Quarterly Revenue Growth (yoy),0.90%
37,Gross Profit (ttm),5.97B
38,EBITDA,4.33B
39,Net Income Avi to Common (ttm),1.68B
40,Diluted EPS (ttm),3.95
41,Quarterly Earnings Growth (yoy),4.00%
42,Total Cash (mrq),3.12B
43,Total Cash Per Share (mrq),7.41
44,Total Debt (mrq),13.45B
45,Total Debt/Equity (mrq),199.44
46,Current Ratio (mrq),1.84
47,Book Value Per Share (mrq),15.98
48,Operating Cash Flow (ttm),3.75B
49,Levered Free Cash Flow (ttm),1.4B
