,Attribute,Value
0,Beta (5Y Monthly),0.82
1,52-Week Change 3,-13.58%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,79.92
4,52 Week Low 3,43.05
5,50-Day Moving Average 3,56.32
6,200-Day Moving Average 3,62.09
7,Avg Vol (3 month) 3,1.03M
8,Avg Vol (10 day) 3,853.81k
9,Shares Outstanding 5,178.72M
10,Float,140.88M
11,% Held by Insiders 1,23.77%
12,% Held by Institutions 1,74.13%
13,"Shares Short (Jun 14, 2020) 4",1.47M
14,"Short Ratio (Jun 14, 2020) 4",1.4
15,"Short % of Float (Jun 14, 2020) 4",1.02%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.82%
17,"Shares Short (prior month May 14, 2020) 4",2.02M
18,Forward Annual Dividend Rate 4,0.48
19,Forward Annual Dividend Yield 4,0.84%
20,Trailing Annual Dividend Rate 3,0.44
21,Trailing Annual Dividend Yield 3,0.77%
22,5 Year Average Dividend Yield 4,0.76
23,Payout Ratio 4,17.25%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Jun 21, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Apr 02, 2019"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,6.39%
31,Operating Margin (ttm),9.27%
32,Return on Assets (ttm),1.74%
33,Return on Equity (ttm),8.80%
34,Revenue (ttm),7.78B
35,Revenue Per Share (ttm),40.78
36,Quarterly Revenue Growth (yoy),-6.50%
37,Gross Profit (ttm),3.37B
38,EBITDA,832.17M
39,Net Income Avi to Common (ttm),496.8M
40,Diluted EPS (ttm),2.57
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.63B
43,Total Cash Per Share (mrq),9.13
44,Total Debt (mrq),2.86B
45,Total Debt/Equity (mrq),51.56
46,Current Ratio (mrq),0.40
47,Book Value Per Share (mrq),30.55
48,Operating Cash Flow (ttm),1.22B
49,Levered Free Cash Flow (ttm),950.49M
