,Attribute,Value
0,Beta (5Y Monthly),0.88
1,52-Week Change 3,-22.29%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,119.72
4,52 Week Low 3,54.95
5,50-Day Moving Average 3,89.24
6,200-Day Moving Average 3,90.64
7,Avg Vol (3 month) 3,2.86M
8,Avg Vol (10 day) 3,2.2M
9,Shares Outstanding 5,300.99M
10,Float,300.29M
11,% Held by Insiders 1,0.19%
12,% Held by Institutions 1,78.67%
13,"Shares Short (Jun 14, 2020) 4",3.88M
14,"Short Ratio (Jun 14, 2020) 4",1.17
15,"Short % of Float (Jun 14, 2020) 4",1.29%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.29%
17,"Shares Short (prior month May 14, 2020) 4",4.87M
18,Forward Annual Dividend Rate 4,1.88
19,Forward Annual Dividend Yield 4,2.19%
20,Trailing Annual Dividend Rate 3,1.78
21,Trailing Annual Dividend Yield 3,2.07%
22,5 Year Average Dividend Yield 4,1.91
23,Payout Ratio 4,48.32%
24,Dividend Date 3,"Jun 11, 2020"
25,Ex-Dividend Date 4,"May 27, 2020"
26,Last Split Factor 2,1391:1000
27,Last Split Date 3,"Oct 31, 2016"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,19.89%
31,Operating Margin (ttm),33.77%
32,Return on Assets (ttm),21.85%
33,Return on Equity (ttm),
34,Revenue (ttm),5.61B
35,Revenue Per Share (ttm),18.41
36,Quarterly Revenue Growth (yoy),0.70%
37,Gross Profit (ttm),2.83B
38,EBITDA,2.01B
39,Net Income Avi to Common (ttm),1.12B
40,Diluted EPS (ttm),3.59
41,Quarterly Earnings Growth (yoy),-68.30%
42,Total Cash (mrq),1.15B
43,Total Cash Per Share (mrq),3.83
44,Total Debt (mrq),11.65B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),1.33
47,Book Value Per Share (mrq),-27.34
48,Operating Cash Flow (ttm),1.25B
49,Levered Free Cash Flow (ttm),1.02B
