,Attribute,Value
0,Beta (5Y Monthly),1.32
1,52-Week Change 3,-15.40%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,171.43
4,52 Week Low 3,71.33
5,50-Day Moving Average 3,141.31
6,200-Day Moving Average 3,129.71
7,Avg Vol (3 month) 3,963.17k
8,Avg Vol (10 day) 3,771.07k
9,Shares Outstanding 5,69.1M
10,Float,68.61M
11,% Held by Insiders 1,0.34%
12,% Held by Institutions 1,104.09%
13,"Shares Short (Jun 14, 2020) 4",1.94M
14,"Short Ratio (Jun 14, 2020) 4",1.78
15,"Short % of Float (Jun 14, 2020) 4",3.28%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.80%
17,"Shares Short (prior month May 14, 2020) 4",2.11M
18,Forward Annual Dividend Rate 4,1
19,Forward Annual Dividend Yield 4,0.75%
20,Trailing Annual Dividend Rate 3,0.43
21,Trailing Annual Dividend Yield 3,0.32%
22,5 Year Average Dividend Yield 4,0.18
23,Payout Ratio 4,7.83%
24,Dividend Date 3,"Jul 02, 2020"
25,Ex-Dividend Date 4,"Jun 10, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Sep 25, 2005"
28,Fiscal Year Ends,"Dec 27, 2019"
29,Most Recent Quarter (mrq),"Apr 17, 2020"
30,Profit Margin,4.10%
31,Operating Margin (ttm),6.67%
32,Return on Assets (ttm),3.40%
33,Return on Equity (ttm),10.95%
34,Revenue (ttm),9.45B
35,Revenue Per Share (ttm),134.65
36,Quarterly Revenue Growth (yoy),-8.60%
37,Gross Profit (ttm),4.26B
38,EBITDA,877.58M
39,Net Income Avi to Common (ttm),387.98M
40,Diluted EPS (ttm),5.50
41,Quarterly Earnings Growth (yoy),-69.40%
42,Total Cash (mrq),1.28B
43,Total Cash Per Share (mrq),18.59
44,Total Debt (mrq),4.18B
45,Total Debt/Equity (mrq),118.24
46,Current Ratio (mrq),1.36
47,Book Value Per Share (mrq),51.39
48,Operating Cash Flow (ttm),673.28M
49,Levered Free Cash Flow (ttm),154.06M
