,Attribute,Value
0,Beta (5Y Monthly),1.46
1,52-Week Change 3,8.93%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,99.40
4,52 Week Low 3,48.89
5,50-Day Moving Average 3,78.03
6,200-Day Moving Average 3,72.56
7,Avg Vol (3 month) 3,1.3M
8,Avg Vol (10 day) 3,1.13M
9,Shares Outstanding 5,106.32M
10,Float,105.71M
11,% Held by Insiders 1,0.51%
12,% Held by Institutions 1,92.64%
13,"Shares Short (Jun 14, 2020) 4",13.56M
14,"Short Ratio (Jun 14, 2020) 4",9.61
15,"Short % of Float (Jun 14, 2020) 4",14.59%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",12.75%
17,"Shares Short (prior month May 14, 2020) 4",15.36M
18,Forward Annual Dividend Rate 4,1.54
19,Forward Annual Dividend Yield 4,2.03%
20,Trailing Annual Dividend Rate 3,1.49
21,Trailing Annual Dividend Yield 3,1.96%
22,5 Year Average Dividend Yield 4,1.65
23,Payout Ratio 4,31.18%
24,Dividend Date 3,"Jun 30, 2020"
25,Ex-Dividend Date 4,"Jun 10, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Mar 01, 2007"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,14.50%
31,Operating Margin (ttm),20.94%
32,Return on Assets (ttm),5.16%
33,Return on Equity (ttm),14.58%
34,Revenue (ttm),3.5B
35,Revenue Per Share (ttm),32.97
36,Quarterly Revenue Growth (yoy),-11.20%
37,Gross Profit (ttm),1.26B
38,EBITDA,949.86M
39,Net Income Avi to Common (ttm),506.86M
40,Diluted EPS (ttm),4.77
41,Quarterly Earnings Growth (yoy),-19.70%
42,Total Cash (mrq),553.23M
43,Total Cash Per Share (mrq),5.2
44,Total Debt (mrq),3.28B
45,Total Debt/Equity (mrq),81.25
46,Current Ratio (mrq),1.81
47,Book Value Per Share (mrq),36.47
48,Operating Cash Flow (ttm),819.51M
49,Levered Free Cash Flow (ttm),27.42M
