,Attribute,Value
0,Beta (5Y Monthly),2.00
1,52-Week Change 3,-3.87%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,301.65
4,52 Week Low 3,127.88
5,50-Day Moving Average 3,265.06
6,200-Day Moving Average 3,235.89
7,Avg Vol (3 month) 3,1.07M
8,Avg Vol (10 day) 3,640.27k
9,Shares Outstanding 5,78.76M
10,Float,71.3M
11,% Held by Insiders 1,8.32%
12,% Held by Institutions 1,87.22%
13,"Shares Short (Jun 14, 2020) 4",3.81M
14,"Short Ratio (Jun 14, 2020) 4",3.2
15,"Short % of Float (Jun 14, 2020) 4",5.46%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.84%
17,"Shares Short (prior month May 14, 2020) 4",5.21M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,78.42%
31,Operating Margin (ttm),19.38%
32,Return on Assets (ttm),9.41%
33,Return on Equity (ttm),91.95%
34,Revenue (ttm),2.41B
35,Revenue Per Share (ttm),30.45
36,Quarterly Revenue Growth (yoy),0.40%
37,Gross Profit (ttm),1.74B
38,EBITDA,554.23M
39,Net Income Avi to Common (ttm),1.89B
40,Diluted EPS (ttm),23.71
41,Quarterly Earnings Growth (yoy),"2,013.00%"
42,Total Cash (mrq),790.7M
43,Total Cash Per Share (mrq),10.04
44,Total Debt (mrq),73.97M
45,Total Debt/Equity (mrq),2.59
46,Current Ratio (mrq),1.73
47,Book Value Per Share (mrq),36.22
48,Operating Cash Flow (ttm),639.85M
49,Levered Free Cash Flow (ttm),344.71M
