,Attribute,Value
0,Beta (5Y Monthly),2.13
1,52-Week Change 3,62.49%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,59.27
4,52 Week Low 3,27.43
5,50-Day Moving Average 3,53.52
6,200-Day Moving Average 3,50.65
7,Avg Vol (3 month) 3,60.56M
8,Avg Vol (10 day) 3,46.77M
9,Shares Outstanding 5,1.17B
10,Float,1.16B
11,% Held by Insiders 1,0.60%
12,% Held by Institutions 1,78.19%
13,"Shares Short (Jun 14, 2020) 4",57.23M
14,"Short Ratio (Jun 14, 2020) 4",0.98
15,"Short % of Float (Jun 14, 2020) 4",4.92%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.89%
17,"Shares Short (prior month May 14, 2020) 4",61.73M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,"Apr 26, 1995"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Aug 21, 2000"
28,Fiscal Year Ends,"Dec 27, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,6.72%
31,Operating Margin (ttm),10.63%
32,Return on Assets (ttm),8.92%
33,Return on Equity (ttm),20.19%
34,Revenue (ttm),7.25B
35,Revenue Per Share (ttm),6.45
36,Quarterly Revenue Growth (yoy),40.40%
37,Gross Profit (ttm),2.87B
38,EBITDA,1.01B
39,Net Income Avi to Common (ttm),487M
40,Diluted EPS (ttm),0.43
41,Quarterly Earnings Growth (yoy),912.50%
42,Total Cash (mrq),1.38B
43,Total Cash Per Share (mrq),1.18
44,Total Debt (mrq),699M
45,Total Debt/Equity (mrq),23.02
46,Current Ratio (mrq),2.21
47,Book Value Per Share (mrq),2.59
48,Operating Cash Flow (ttm),641M
49,Levered Free Cash Flow (ttm),549.25M
